group,phase,condition,subject,mem_acc
ptsd,baseline,CS-,122,0.3333333333333333
ptsd,baseline,CS-,123,0.7083333333333334
ptsd,baseline,CS-,124,0.75
ptsd,baseline,CS-,125,0.75
ptsd,extinction,CS+,101,0.4583333333333333
ptsd,extinction,CS+,102,0.43478260869565216
ptsd,extinction,CS+,103,0.5
ptsd,extinction,CS+,104,0.17391304347826086
ptsd,extinction,CS+,105,0.5652173913043478
ptsd,extinction,CS+,106,0.375
ptsd,extinction,CS+,107,0.5833333333333334
ptsd,extinction,CS+,108,0.375
ptsd,extinction,CS+,109,0.75
ptsd,extinction,CS+,110,0.4782608695652174
ptsd,extinction,CS+,111,0.7916666666666666
ptsd,extinction,CS+,112,0.25
ptsd,extinction,CS+,113,0.34782608695652173
ptsd,extinction,CS+,114,0.625
ptsd,extinction,CS+,115,0.4782608695652174
ptsd,extinction,CS+,116,0.041666666666666664
ptsd,extinction,CS+,117,0.20833333333333334
ptsd,extinction,CS+,118,0.2608695652173913
ptsd,extinction,CS+,120,0.6666666666666666
ptsd,extinction,CS+,121,0.75
ptsd,extinction,CS+,122,0.75
ptsd,extinction,CS+,123,0.6086956521739131
ptsd,extinction,CS+,124,0.20833333333333334
ptsd,extinction,CS+,125,0.5
ptsd,extinction,CS-,101,0.20833333333333334
ptsd,extinction,CS-,102,0.5
ptsd,extinction,CS-,103,0.7916666666666666
ptsd,extinction,CS-,104,0.08333333333333333
ptsd,extinction,CS-,105,0.5416666666666666
ptsd,extinction,CS-,106,0.20833333333333334
ptsd,extinction,CS-,107,0.6666666666666666
ptsd,extinction,CS-,108,0.5
ptsd,extinction,CS-,109,0.7083333333333334
ptsd,extinction,CS-,110,0.38095238095238093
ptsd,extinction,CS-,111,0.5416666666666666
ptsd,extinction,CS-,112,0.16666666666666666
ptsd,extinction,CS-,113,0.16666666666666666
ptsd,extinction,CS-,114,0.16666666666666666
ptsd,extinction,CS-,115,0.375
ptsd,extinction,CS-,116,0.041666666666666664
ptsd,extinction,CS-,117,0.375
ptsd,extinction,CS-,118,0.09523809523809523
ptsd,extinction,CS-,120,0.6111111111111112
ptsd,extinction,CS-,121,0.5833333333333334
ptsd,extinction,CS-,122,0.25
ptsd,extinction,CS-,123,0.4166666666666667
ptsd,extinction,CS-,124,0.20833333333333334
ptsd,extinction,CS-,125,0.6086956521739131
