"","roi","phase","group","condition","beta","chisq","pval"
"63","A10m","acquisition","ptsd","CS+","0.00321317396524116","0.00685213961867248","0.934028339500244"
"64","A9m","acquisition","ptsd","CS+","-0.0260738711018409","0.320271858565889","0.571444313714289"
"65","A8m","acquisition","ptsd","CS+","0.017825238078902","0.144911687494186","0.703446145179066"
"66","A6m","acquisition","ptsd","CS+","-0.00853186939257664","0.0215526858424937","0.88328330931214"
"67","A32sg","early_extinction","ptsd","CS+","-0.0653581673095315","0.938364642000693","0.332698769040747"
"68","A32p","early_extinction","ptsd","CS+","-0.0455962292275471","0.411772716001281","0.521071113374926"
"69","A24cd","early_extinction","ptsd","CS+","-0.0279137154956689","0.133717940528129","0.714607873625596"
"70","A24rv","early_extinction","ptsd","CS+","0.0718011756604131","0.915852404207214","0.338566357289814"
"71","A14m","early_extinction","ptsd","CS+","-0.0600591659326964","0.653120112791726","0.418999361743299"
"72","A11m","early_extinction","ptsd","CS+","-0.0481180566360344","0.572569505692655","0.449239666113529"
"73","A13","early_extinction","ptsd","CS+","-0.032477107007946","0.553791129733931","0.456772764860428"
"74","A10m","early_extinction","ptsd","CS+","-0.12658846199483","3.03422457714416","0.0815254934921665"
"75","A9m","early_extinction","ptsd","CS+","-0.0579131013720725","0.58331693180196","0.445015118624476"
"76","A8m","early_extinction","ptsd","CS+","-0.118135751713692","2.37443562218743","0.123336164708098"
"77","A6m","early_extinction","ptsd","CS+","0.0864303133235299","0.848074063608863","0.357097747352246"
"78","A32sg","extinction","ptsd","CS+","0.0205219850337647","0.18277970800483","0.668995206598027"
"79","A32p","extinction","ptsd","CS+","-0.00815711959184101","0.0260509985456565","0.871775832880542"
"80","A24cd","extinction","ptsd","CS+","-0.0120716088410695","0.0479597978899164","0.826652185720956"
"81","A24rv","extinction","ptsd","CS+","0.0481051669233153","0.857780316753292","0.354360600510069"
"82","A14m","extinction","ptsd","CS+","0.11418417297269","4.48821488047543","0.0341292981613734"
"83","A11m","extinction","ptsd","CS+","-0.0214759280310476","0.198092591289878","0.656264876436181"
"84","A13","extinction","ptsd","CS+","0.0247748567885447","0.644407886590443","0.422119130282546"
"85","A10m","extinction","ptsd","CS+","0.0161404478439444","0.114857727863807","0.734680043020514"
"86","A9m","extinction","ptsd","CS+","0.0798776732749266","2.11730692981894","0.145642442850418"
"87","A8m","extinction","ptsd","CS+","-0.00952406924043847","0.0291149206889258","0.864513961161458"
"88","A6m","extinction","ptsd","CS+","0.0576160120829614","0.802085661321485","0.370470521766283"
"89","A32sg","baseline","healthy","CS-","0.108107901552562","4.92830200415858","0.0264202658810293"
"90","A32p","baseline","healthy","CS-","0.00621922182987446","0.0221312643823239","0.881738434927755"
"91","A24cd","baseline","healthy","CS-","-0.0169572169664396","0.155407926174121","0.693420008820002"
"92","A24rv","baseline","healthy","CS-","0.0249476509289813","0.283586853785323","0.59435984529757"
"93","A14m","baseline","healthy","CS-","0.0778751230175265","2.94510962709433","0.0861378543152536"
"94","A11m","baseline","healthy","CS-","0.0268669776353504","0.466777079355666","0.494473611199365"
"95","A13","baseline","healthy","CS-","0.00183560821410217","0.00345701644232577","0.953114277312497"
"96","A10m","baseline","healthy","CS-","0.0195261341833383","0.160098701087804","0.689065661372449"
"97","A9m","baseline","healthy","CS-","0.0411598005092811","0.804140316415328","0.369858358795656"
"98","A8m","baseline","healthy","CS-","0.0912322841492968","3.39150299288997","0.0655331869346178"
"99","A6m","baseline","healthy","CS-","0.0848776054592502","3.37875785793676","0.0660418104443409"
"100","A32sg","acquisition","healthy","CS-","-0.0336676158155346","0.498632154921893","0.480101758773328"
"101","A32p","acquisition","healthy","CS-","-0.0122683848467342","0.093160786370845","0.760196682195013"
"102","A24cd","acquisition","healthy","CS-","0.060046384062716","1.75560571940264","0.18517356448868"
"103","A24rv","acquisition","healthy","CS-","-0.00360153886939077","0.00666501789385165","0.934933341278866"
"104","A14m","acquisition","healthy","CS-","0.0384059405831968","0.694320525821809","0.404698686053944"
"105","A11m","acquisition","healthy","CS-","-0.00718027095425835","0.0346452751119841","0.852340924262782"
"106","A13","acquisition","healthy","CS-","-0.0301367330827295","1.00195338050378","0.316838308160073"
"107","A10m","acquisition","healthy","CS-","0.0230088981537117","0.246818070955328","0.619324536893761"
"108","A9m","acquisition","healthy","CS-","0.0601097644476722","2.03165960128445","0.154052305818441"
"109","A8m","acquisition","healthy","CS-","0.0163972562985109","0.0867786514806994","0.768313088757063"
"110","A6m","acquisition","healthy","CS-","-0.0321193817274486","0.406297561760653","0.523854724050252"
"111","A32sg","early_extinction","healthy","CS-","-0.0449608222562792","0.346270421388652","0.556231985070304"
"112","A32p","early_extinction","healthy","CS-","0.0290080710905432","0.141711119040735","0.706585819481992"
"113","A24cd","early_extinction","healthy","CS-","-0.0150311434110912","0.0411755865019074","0.839199371942951"
"114","A24rv","early_extinction","healthy","CS-","-0.0430312075088586","0.285990180156574","0.592801650621386"
"115","A14m","early_extinction","healthy","CS-","-0.0843442032638942","1.30306256017465","0.253654568658424"
"116","A11m","early_extinction","healthy","CS-","0.0686155705494472","0.752689318184252","0.385626110197959"
"117","A13","early_extinction","healthy","CS-","-0.0540754009264191","0.732012877787753","0.392231513564098"
"118","A10m","early_extinction","healthy","CS-","-0.0350891441892234","0.199531046635798","0.655099638200191"
"119","A9m","early_extinction","healthy","CS-","0.0371372797835659","0.31959456644168","0.571851397579453"
"120","A8m","early_extinction","healthy","CS-","0.124430849362746","1.85895001394653","0.172746032626152"
"121","A6m","early_extinction","healthy","CS-","0.039078044563826","0.188374432361854","0.664273020934089"
"122","A32sg","extinction","healthy","CS-","0.064087529391809","1.66114129744648","0.197449298610642"
"123","A32p","extinction","healthy","CS-","-0.0332973626430747","0.407329660317032","0.523327985430291"
"124","A24cd","extinction","healthy","CS-","0.0857530552319665","2.0677270775048","0.150445589777719"
"125","A24rv","extinction","healthy","CS-","-0.0283401651831044","0.28282848546047","0.59485329182854"
"126","A14m","extinction","healthy","CS-","0.100177885551968","4.12794827593336","0.0421804615859645"
"127","A11m","extinction","healthy","CS-","0.0889886999404372","2.51080684164111","0.11306802891588"
"128","A13","extinction","healthy","CS-","0.00905158907538428","0.0439434945498078","0.833958776161423"
"129","A10m","extinction","healthy","CS-","-0.0404479330649855","0.429840315703245","0.512067313289489"
"130","A9m","extinction","healthy","CS-","-0.0176148869717816","0.106402614402612","0.744277477721968"
"131","A8m","extinction","healthy","CS-","0.0138633484073144","0.0460703128683235","0.830048035581624"
"132","A6m","extinction","healthy","CS-","0.0216477980313787","0.10407868681466","0.746988888294835"
"133","A32sg","baseline","ptsd","CS-","-0.0351449952120506","0.907200448048911","0.340858314999299"
"134","A32p","baseline","ptsd","CS-","-0.0472916365375655","1.18285785589137","0.276774959961245"
"135","A24cd","baseline","ptsd","CS-","0.0359640345646479","0.534456084629937","0.464739430274748"
"136","A24rv","baseline","ptsd","CS-","-0.0348748204116457","0.835069143668761","0.360810816908855"
"137","A14m","baseline","ptsd","CS-","0.0148887445395417","0.14792864299045","0.700522732310974"
"138","A11m","baseline","ptsd","CS-","0.00412688062442835","0.0154735949721498","0.901004190206062"
"139","A13","baseline","ptsd","CS-","0.0278241914674131","1.60356808740578","0.205398292817295"
"140","A10m","baseline","ptsd","CS-","-0.0333155628733748","0.767615187263914","0.380955825795363"
"141","A9m","baseline","ptsd","CS-","-0.00614520679368559","0.0221420149782716","0.881709926067815"
"142","A8m","baseline","ptsd","CS-","0.00116690302239039","0.000669364342797962","0.979359372307989"
"143","A6m","baseline","ptsd","CS-","-0.0104083132338879","0.0351200863860868","0.851344248131325"
"144","A32sg","acquisition","ptsd","CS-","-0.0394220950578598","1.06856721913425","0.301269301431056"
"145","A32p","acquisition","ptsd","CS-","-0.0685721435860794","2.19949705528597","0.138055775089424"
"146","A24cd","acquisition","ptsd","CS-","-0.00751339802826911","0.0202602706535799","0.886812576261726"
"147","A24rv","acquisition","ptsd","CS-","0.0560833771614738","1.34875510888628","0.245495868282917"
"148","A14m","acquisition","ptsd","CS-","-0.0204954785273968","0.231646705563548","0.630305500277992"
"149","A11m","acquisition","ptsd","CS-","0.0105089826448576","0.082894993993591","0.773411875301362"
"150","A13","acquisition","ptsd","CS-","-0.0512306008891954","3.39635824255424","0.0653405286538331"
"151","A10m","acquisition","ptsd","CS-","0.0402494113906613","0.998219680653506","0.317741676834342"
"152","A9m","acquisition","ptsd","CS-","-0.0335632154432038","0.542253350820147","0.461500362261886"
"153","A8m","acquisition","ptsd","CS-","-0.0272170859735659","0.407541785021749","0.523219842476781"
"154","A6m","acquisition","ptsd","CS-","0.0405911402241863","0.594395820236741","0.44072429886416"
"155","A32sg","early_extinction","ptsd","CS-","0.0460527300432608","0.447188672774075","0.503673041131121"
"156","A32p","early_extinction","ptsd","CS-","-0.128063830333669","2.55403681250772","0.110012842894399"
"157","A24cd","early_extinction","ptsd","CS-","-0.123216817270932","2.15359423110783","0.142236571595736"
"158","A24rv","early_extinction","ptsd","CS-","-0.0837822712135495","1.20477090464453","0.272370209057637"
"159","A14m","early_extinction","ptsd","CS-","0.0587475405254151","0.716509624170754","0.39729120775438"
"160","A11m","early_extinction","ptsd","CS-","0.014141748574786","0.0565047236279952","0.812108181477051"
"161","A13","early_extinction","ptsd","CS-","-0.021322215605461","0.270379743504563","0.603077150872695"
"162","A10m","early_extinction","ptsd","CS-","0.0675872965971512","1.2804795952608","0.257809881719618"
"163","A9m","early_extinction","ptsd","CS-","-0.0102270578137923","0.0164457488802441","0.897958270658702"
"164","A8m","early_extinction","ptsd","CS-","-0.0340776846152973","0.158887596803197","0.690182750860949"
"165","A6m","early_extinction","ptsd","CS-","-0.0181941822291056","0.0409394535752767","0.839654837135588"
"166","A32sg","extinction","ptsd","CS-","0.0373385319050436","0.544648213608525","0.460512714373143"
"167","A32p","extinction","ptsd","CS-","0.0594079509264836","1.08466255807502","0.297656846549634"
"168","A24cd","extinction","ptsd","CS-","0.0886464703243323","2.0619349719567","0.151018296551908"
"169","A24rv","extinction","ptsd","CS-","0.0917388839839255","2.88305931073654","0.0895158035747236"
"170","A14m","extinction","ptsd","CS-","-0.0250616925084844","0.256913200902886","0.612248802505179"
"171","A11m","extinction","ptsd","CS-","0.00388872686845247","0.00733484937398998","0.931749630521163"
"172","A13","extinction","ptsd","CS-","-0.00229791078257281","0.00568896414790743","0.939876391929306"
"173","A10m","extinction","ptsd","CS-","-0.00333835931574214","0.00431855614772303","0.947604154944745"
"174","A9m","extinction","ptsd","CS-","0.0679864567206592","1.32000685339722","0.250590820719028"
"175","A8m","extinction","ptsd","CS-","0.0734194045598446","1.7022510216741","0.191993855507231"
"176","A6m","extinction","ptsd","CS-","0.0729177016144913","1.15663673692382","0.282164145207208"
