subject,roi,phase,condition,beta
8,hc_tail,extinction,CS-,40.43171456917612
9,amyg_bla,acquisition,CS+,-14.385646583931681
9,amyg_bla,acquisition,CS-,-18.2945868842547
9,amyg_bla,baseline,CS+,-10.97326775464146
9,amyg_bla,baseline,CS-,-4.6122229117996145
9,amyg_bla,extinction,CS+,-11.37038880927949
9,amyg_bla,extinction,CS-,2.7738053370277655
9,amyg_cem,acquisition,CS+,-13.74940110700471
9,amyg_cem,acquisition,CS-,52.95952860645928
9,amyg_cem,baseline,CS+,19.575548178667113
9,amyg_cem,baseline,CS-,31.204362599223497
9,amyg_cem,extinction,CS+,20.83677110151787
9,amyg_cem,extinction,CS-,42.186319384333636
9,hc_body,acquisition,CS+,-21.168338763917077
9,hc_body,acquisition,CS-,-13.574680873463027
9,hc_body,baseline,CS+,-11.0737949443593
9,hc_body,baseline,CS-,-13.551569328868451
9,hc_body,extinction,CS+,-12.367162530363808
9,hc_body,extinction,CS-,-20.16833070187325
9,hc_tail,acquisition,CS+,-8.46990731645089
9,hc_tail,acquisition,CS+,-8.46990731645089
9,hc_tail,acquisition,CS-,9.563174120126627
9,hc_tail,acquisition,CS-,9.563174120126627
9,hc_tail,baseline,CS+,-4.724890555318796
9,hc_tail,baseline,CS+,-4.724890555318796
9,hc_tail,baseline,CS-,-11.610612578546771
9,hc_tail,baseline,CS-,-11.610612578546771
9,hc_tail,extinction,CS+,-12.561566860614041
9,hc_tail,extinction,CS+,-12.561566860614041
9,hc_tail,extinction,CS-,-7.788049654239136
9,hc_tail,extinction,CS-,-7.788049654239136
10,amyg_bla,acquisition,CS+,16.275154921401924
10,amyg_bla,acquisition,CS-,0.5991390436464482
10,amyg_bla,baseline,CS+,11.371917365187622
10,amyg_bla,baseline,CS-,2.702323546612715
10,amyg_bla,extinction,CS+,7.391589751824409
10,amyg_bla,extinction,CS-,5.837136624023646
10,amyg_cem,acquisition,CS+,19.756096570946585
10,amyg_cem,acquisition,CS-,17.318684347945712
10,amyg_cem,baseline,CS+,19.510568179635573
10,amyg_cem,baseline,CS-,14.663021257321816
10,amyg_cem,extinction,CS+,12.367609616829819
10,amyg_cem,extinction,CS-,19.57599165996847
10,hc_body,acquisition,CS+,-12.862083364345105
10,hc_body,acquisition,CS-,-4.9808991593032665
10,hc_body,baseline,CS+,-13.180284328709146
10,hc_body,baseline,CS-,-8.416085514772655
10,hc_body,extinction,CS+,-6.509586851299515
10,hc_body,extinction,CS-,-12.266687439226327
10,hc_tail,acquisition,CS+,-2.8146604326864084
10,hc_tail,acquisition,CS+,-2.8146604326864084
10,hc_tail,acquisition,CS-,12.251398180749105
10,hc_tail,acquisition,CS-,12.251398180749105
10,hc_tail,baseline,CS+,1.13840903615633
10,hc_tail,baseline,CS+,1.13840903615633
10,hc_tail,baseline,CS-,0.34518437249999906
10,hc_tail,baseline,CS-,0.34518437249999906
10,hc_tail,extinction,CS+,8.081341606275075
10,hc_tail,extinction,CS+,8.081341606275075
10,hc_tail,extinction,CS-,-4.611743650057663
10,hc_tail,extinction,CS-,-4.611743650057663
12,amyg_bla,acquisition,CS+,-2.07379545779337
12,amyg_bla,acquisition,CS-,-1.4866904065752076
12,amyg_bla,baseline,CS+,-7.072602952793536
12,amyg_bla,baseline,CS-,-2.0675318202713417
12,amyg_bla,extinction,CS+,-5.633028482858624
12,amyg_bla,extinction,CS-,-5.83686708703578
12,amyg_cem,acquisition,CS+,51.08773805027525
12,amyg_cem,acquisition,CS-,35.461812015973095
12,amyg_cem,baseline,CS+,22.126785428569708
12,amyg_cem,baseline,CS-,50.01920981105003
12,amyg_cem,extinction,CS+,35.67013730768624
12,amyg_cem,extinction,CS-,48.468522309910696
12,hc_body,acquisition,CS+,-2.366564909028856
12,hc_body,acquisition,CS-,5.746407167328113
12,hc_body,baseline,CS+,-8.850288544846329
12,hc_body,baseline,CS-,-1.6089337908536738
12,hc_body,extinction,CS+,-7.856899341309062
12,hc_body,extinction,CS-,9.302532435591935
12,hc_tail,acquisition,CS+,27.14675484335533
