"","phase","group","hc_head_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"100","extinction","ptsd",-0.06,0.00964930129331262,0.0436691744674313,Inf,-0.0759407078974488,0.0952393104840741,"extinction ptsd",-0.06
"101","acquisition","healthy",-0.05,-0.0287399824216125,0.0435372920933208,Inf,-0.114071506908922,0.0565915420656966,"acquisition healthy",-0.05
"102","extinction","healthy",-0.05,-0.0259829023156258,0.0439403736549112,Inf,-0.112104452146484,0.0601386475152327,"extinction healthy",-0.05
"103","acquisition","ptsd",-0.05,-0.0603870215707951,0.0436195288032701,Inf,-0.145879727047812,0.0251056839062218,"acquisition ptsd",-0.05
"104","extinction","ptsd",-0.05,0.010022731549819,0.0436239354933437,Inf,-0.0754786108810331,0.0955240739806712,"extinction ptsd",-0.05
"105","acquisition","healthy",-0.04,-0.0281468527719605,0.0435129926857237,Inf,-0.113430751295534,0.0571370457516128,"acquisition healthy",-0.04
"106","extinction","healthy",-0.04,-0.023847767565523,0.043862286861001,Inf,-0.109816270092649,0.0621207349616034,"extinction healthy",-0.04
"107","acquisition","ptsd",-0.04,-0.0598385387370858,0.0435787556799063,Inf,-0.145251330360772,0.0255742528866009,"acquisition ptsd",-0.04
"108","extinction","ptsd",-0.04,0.0103961618063255,0.0435865427670069,Inf,-0.0750318922276229,0.0958242158402738,"extinction ptsd",-0.04
"109","acquisition","healthy",-0.03,-0.0275537231223084,0.0434942277784905,Inf,-0.112800843103531,0.0576933968589145,"acquisition healthy",-0.03
"110","extinction","healthy",-0.03,-0.0217126328154201,0.0437912198050751,Inf,-0.107541846472444,0.0641165808416042,"extinction healthy",-0.03
"111","acquisition","ptsd",-0.03,-0.0592900559033764,0.0435445632622126,Inf,-0.144635831619839,0.0260557198130862,"acquisition ptsd",-0.03
"112","extinction","ptsd",-0.03,0.0107695920628319,0.0435570164959114,Inf,-0.0746005915431715,0.0961397756688352,"extinction ptsd",-0.03
"113","acquisition","healthy",-0.02,-0.0269605934726564,0.0434810045371222,Inf,-0.112181796377039,0.0582606094317259,"acquisition healthy",-0.02
"114","extinction","healthy",-0.02,-0.0195774980653173,0.0437272067133518,Inf,-0.105281248368025,0.0661262522373903,"extinction healthy",-0.02
"115","acquisition","ptsd",-0.02,-0.0587415730696671,0.0435169670620887,Inf,-0.144033261227777,0.0265501150884425,"acquisition ptsd",-0.02
"116","extinction","ptsd",-0.02,0.0111430223193383,0.043535372685465,Inf,-0.0741847401977018,0.0964707848363784,"extinction ptsd",-0.02
"117","acquisition","healthy",-0.01,-0.0263674638230043,0.0434733280184291,Inf,-0.111573621027221,0.0588386933812127,"acquisition healthy",-0.01
"118","extinction","healthy",-0.01,-0.0174423633152144,0.0436702786055245,Inf,-0.103034536576872,0.0681498099464436,"extinction healthy",-0.01
"119","acquisition","ptsd",-0.01,-0.0581930902359578,0.0434959796345272,Inf,-0.143443643791919,0.0270574633200031,"acquisition ptsd",-0.01
"120","extinction","ptsd",-0.01,0.0115164525758447,0.0435216230957879,Inf,-0.0737843612406262,0.0968172663923156,"extinction ptsd",-0.01
"121","acquisition","healthy",0,-0.0257743341733522,0.0434712011608751,Inf,-0.110976322813363,0.0594276544666588,"acquisition healthy",0
"122","extinction","healthy",0,-0.0153072285651116,0.0436204632209722,Inf,-0.100801765467171,0.0701873083369481,"extinction healthy",0
"123","acquisition","ptsd",0,-0.0576446074022484,0.0434816105491701,Inf,-0.142866998068419,0.0275777832639219,"acquisition ptsd",0
"124","extinction","ptsd",0,0.0118898828323511,0.0435157752098428,Inf,-0.0733994693382817,0.0971792350029839,"extinction ptsd",0
"125","acquisition","healthy",0.01,-0.0251812045237002,0.043474624778959,Inf,-0.110389903331852,0.060027494284452,"acquisition healthy",0.01
"126","extinction","healthy",0.01,-0.0131720938150087,0.0435777849521564,Inf,-0.0985829828472668,0.0722387952172494,"extinction healthy",0.01
"127","acquisition","ptsd",0.01,-0.0570961245685391,0.0434738663685485,Inf,-0.142303336919601,0.0281110877825231,"acquisition ptsd",0.01
"128","extinction","ptsd",0.01,0.0122633130888575,0.0435178322131006,Inf,-0.0730300707340767,0.0975566969117918,"extinction ptsd",0.01
"129","acquisition","healthy",0.02,-0.0245880748740481,0.0434835975616546,Inf,-0.109814360013125,0.0606382102650286,"acquisition healthy",0.02
"130","extinction","healthy",0.02,-0.0110369590649058,0.0435422647855704,Inf,-0.0963782298499304,0.0743043117201187,"extinction healthy",0.02
"131","acquisition","ptsd",0.02,-0.0565476417348298,0.0434727506331189,Inf,-0.141752667284634,0.028657383814974,"acquisition ptsd",0.02
"132","extinction","ptsd",0.02,0.012636743345364,0.0435277929848717,Inf,-0.0726761632314998,0.0979496499222278,"extinction ptsd",0.02
"133","acquisition","healthy",0.03,-0.0239949452243961,0.0434981160749204,Inf,-0.109249686126583,0.0612597956777907,"acquisition healthy",0.03
"134","extinction","healthy",0.03,-0.00890182431480298,0.0435139202505725,Inf,-0.0941875408320732,0.0763838922024673,"extinction healthy",0.03
"135","acquisition","ptsd",0.03,-0.0559991589011204,0.0434782638531769,Inf,-0.141214990163677,0.0292166723614359,"acquisition ptsd",0.03
"136","extinction","ptsd",0.03,0.0130101736018704,0.0435456521013565,Inf,-0.0723377362000993,0.0983580834038401,"extinction ptsd",0.03
"137","acquisition","healthy",0.04,-0.023401815574744,0.0435181747682646,Inf,-0.108695870793462,0.0618922396439743,"acquisition healthy",0.04
"138","extinction","healthy",0.04,-0.00676668956470013,0.0434927653763909,Inf,-0.0920109432904769,0.0784775641610766,"extinction healthy",0.04
"139","acquisition","ptsd",0.04,-0.0554506760674111,0.0434904035076914,Inf,-0.140690300615601,0.0297889484807784,"acquisition ptsd",0.04
"140","extinction","ptsd",0.04,0.0133836038583768,0.0435713998503969,Inf,-0.0720147706043949,0.0987819783211485,"extinction ptsd",0.04
"141","acquisition","healthy",0.05,-0.0228086859250919,0.0435437659853377,Inf,-0.108152899007594,0.0625355271574102,"acquisition healthy",0.05
"142","extinction","healthy",0.05,-0.00463155481459727,0.0434788106575435,Inf,-0.0898484577940188,0.0805853481648242,"extinction healthy",0.05
"143","acquisition","ptsd",0.05,-0.0549021932337018,0.0435091640500638,Inf,-0.140178587769272,0.0303742013018682,"acquisition ptsd",0.05
"144","extinction","ptsd",0.05,0.0137570341148832,0.0436050222578341,Inf,-0.0717072390555391,0.0992213072853055,"extinction ptsd",0.05
"145","acquisition","healthy",0.06,-0.0222155562754399,0.0435748799785053,Inf,-0.107620751663966,0.063189639113086,"acquisition healthy",0.06
"146","extinction","healthy",0.06,-0.00249642006449443,0.0434720630278733,Inf,-0.0877000979327813,0.0827072578037924,"extinction healthy",0.06
"147","acquisition","ptsd",0.06,-0.0543537103999925,0.0435345369207843,Inf,-0.139679834848359,0.030972414048374,"acquisition ptsd",0.06
"148","extinction","ptsd",0.06,0.0141304643713896,0.043646501125308,Inf,-0.071415105885401,0.0996760346281803,"extinction ptsd",0.06
"149","acquisition","healthy",0.07,-0.0216224266257878,0.0436115049273365,Inf,-0.107099405594958,0.0638545523433827,"acquisition healthy",0.07
"150","extinction","healthy",0.07,-0.000361285314391572,0.043472525843346,Inf,-0.0855658702843365,0.0848432996555533,"extinction healthy",0.07
"151","acquisition","ptsd",0.07,-0.0538052275662831,0.0435665105669149,Inf,-0.13919401920952,0.0315835640769538,"acquisition ptsd",0.07
"152","extinction","ptsd",0.07,0.014503894627896,0.043695814079258,Inf,-0.0711383272426078,0.1001461164984,"extinction ptsd",0.07
"153","acquisition","healthy",0.08,-0.0210292969761358,0.0436536269609261,Inf,-0.106588833614098,0.0645302396618261,"acquisition healthy",0.08
"154","extinction","healthy",0.08,0.00177384943571128,0.0434801988737117,Inf,-0.0834457743974027,0.0869934732688253,"extinction healthy",0.08
"155","acquisition","ptsd",0.08,-0.0532567447325738,0.0436050704682987,Inf,-0.13872111239377,0.0322076229286228,"acquisition ptsd",0.08
"156","extinction","ptsd",0.08,0.0148773248844025,0.0437529346308211,Inf,-0.0708768512099421,0.100631500978747,"extinction ptsd",0.08
"157","acquisition","healthy",0.09,-0.0204361673264837,0.0437012301839543,Inf,-0.106089004567129,0.0652166699141614,"acquisition healthy",0.09
"158","extinction","healthy",0.09,0.00390898418581414,0.0434950783030769,Inf,-0.0813398027929661,0.0891577711645944,"extinction healthy",0.09
"159","acquisition","ptsd",0.09,-0.0527082618988645,0.0436501991703554,Inf,-0.138261080190761,0.0328445563930322,"acquisition ptsd",0.09
"160","extinction","ptsd",0.09,0.0152507551409089,0.0438178322462554,Inf,-0.0706306179423696,0.101132128224187,"extinction ptsd",0.09
"161","acquisition","healthy",0.1,-0.0198430376768317,0.0437542967063679,Inf,-0.105599883390192,0.065913808036529,"acquisition healthy",0.1
"162","extinction","healthy",0.1,0.006044118935917,0.0435171567393849,Inf,-0.0792479409828619,0.0913361788546959,"extinction healthy",0.1
"163","acquisition","ptsd",0.1,-0.0521597790651551,0.0437018763232919,Inf,-0.137813882715631,0.0334943245853207,"acquisition ptsd",0.1
"164","extinction","ptsd",0.1,0.0156241853974153,0.0438904724274566,Inf,-0.0703995598248478,0.101647930619678,"extinction ptsd",0.1
"165","acquisition","healthy",0.11,-0.0192499080271796,0.0438128066765582,Inf,-0.10512143117485,0.0666216151204904,"acquisition healthy",0.11
"166","extinction","healthy",0.11,0.00817925368601985,0.0435464232327493,Inf,-0.0771701675057071,0.0935286748777468,"extinction healthy",0.11
"167","acquisition","ptsd",0.11,-0.0516112962314458,0.0437600787275243,Inf,-0.137379474498031,0.0341568820351391,"acquisition ptsd",0.11
"168","extinction","ptsd",0.11,0.0159976156539217,0.0439708168020782,Inf,-0.0701836016489603,0.102178832956804,"extinction ptsd",0.11
"169","acquisition","healthy",0.12,-0.0186567783775275,0.0438767383178911,Inf,-0.104653605239683,0.0673400484846276,"acquisition healthy",0.12
"170","extinction","healthy",0.12,0.0103143884361227,0.0435828633025344,Inf,-0.0751064539799771,0.0957352308522225,"extinction healthy",0.12
"171","acquisition","ptsd",0.12,-0.0510628133977365,0.0438247803850761,Inf,-0.136957804582863,0.0348321777873901,"acquisition ptsd",0.12
"172","extinction","ptsd",0.12,0.0163710459104281,0.0440588232227188,Inf,-0.0699826608073176,0.102724752628174,"extinction ptsd",0.12
"173","acquisition","healthy",0.13,-0.0180636487278755,0.0439460679684382,Inf,-0.104196359208164,0.0680690617524126,"acquisition healthy",0.13
"174","extinction","healthy",0.13,0.0124495231862256,0.043626458973027,Inf,-0.0730567651739216,0.0979558115463727,"extinction healthy",0.13
"175","acquisition","ptsd",0.13,-0.0505143305640272,0.0438959525566925,Inf,-0.136548816642223,0.035520155514169,"acquisition ptsd",0.13
"176","extinction","ptsd",0.13,0.0167444761669345,0.0441544458745878,Inf,-0.0697966475045807,0.10328559983845,"extinction ptsd",0.13
"177","acquisition","healthy",0.14,-0.0174705190782234,0.0440207701237398,Inf,-0.10374964309247,0.0688086049360233,"acquisition healthy",0.14
"178","extinction","healthy",0.14,0.0145846579363284,0.0436771888174954,Inf,-0.0710210590919181,0.100190374964575,"extinction healthy",0.14
"179","acquisition","ptsd",0.14,-0.0499658477303178,0.0439735638243803,Inf,-0.136152449097977,0.0362207536373409,"acquisition ptsd",0.14
"180","extinction","ptsd",0.14,0.017117906423441,0.0442576353910292,Inf,-0.0696254649838815,0.103861277830763,"extinction ptsd",0.14
"181","acquisition","healthy",0.15,-0.0168773894285714,0.0441008174824271,Inf,-0.103313403382903,0.0695586245257601,"acquisition healthy",0.15
"182","extinction","healthy",0.15,0.0167197926864313,0.0437350280103856,Inf,-0.0689992870767751,0.102438872449638,"extinction healthy",0.15
"183","acquisition","ptsd",0.15,-0.0494173648966085,0.0440575801590658,Inf,-0.135768635254364,0.036933905461147,"acquisition ptsd",0.15
"184","extinction","ptsd",0.15,0.0174913366799474,0.0443683389762443,Inf,-0.0694690097673561,0.104451683127251,"extinction ptsd",0.15
"185","acquisition","healthy",0.16,-0.0162842597789193,0.044186180994517,Inf,-0.102887583142541,0.0703190635847022,"acquisition healthy",0.16
"186","extinction","healthy",0.16,0.0188549274365341,0.0437999483873603,Inf,-0.0669913939274052,0.104701248800473,"extinction healthy",0.16
"187","acquisition","ptsd",0.16,-0.0488688820628992,0.0441479649930366,Inf,-0.135397303439986,0.0376595393141877,"acquisition ptsd",0.16
"188","extinction","ptsd",0.16,0.0178647669364538,0.0444865005345308,Inf,-0.0693271719094485,0.105056705782356,"extinction ptsd",0.16
"189","acquisition","healthy",0.17,-0.0156911301292672,0.044276829912187,Inf,-0.10247212210676,0.0710898618482251,"acquisition healthy",0.17
"190","extinction","healthy",0.17,0.020990062186637,0.0438719185128456,Inf,-0.0649973180312164,0.10697744240449,"extinction healthy",0.17
"191","acquisition","ptsd",0.17,-0.0483203992291898,0.0442446792968202,Inf,-0.135038377158482,0.0383975787001027,"acquisition ptsd",0.17
"192","extinction","ptsd",0.17,0.0182381971929602,0.0446120608053357,Inf,-0.0691998352616086,0.105676229647529,"extinction ptsd",0.17
"193","acquisition","healthy",0.18,-0.0150980004796152,0.0443727318428325,Inf,-0.10206695678722,0.0718709558279901,"acquisition healthy",0.18
"194","extinction","healthy",0.18,0.0231251969367398,0.0439509037547152,Inf,-0.0630169915104882,0.109267385383968,"extinction healthy",0.18
"195","acquisition","ptsd",0.18,-0.0477719163954805,0.044347681660136,Inf,-0.134691775247195,0.0391479424562336,"acquisition ptsd",0.18
"196","extinction","ptsd",0.18,0.0186116274494666,0.0447449575034034,Inf,-0.0690868777469793,0.106310132645913,"extinction ptsd",0.18
"197","acquisition","healthy",0.19,-0.0145048708299631,0.0444738528042013,Inf,-0.101672020579933,0.072662278920007,"acquisition healthy",0.19
"198","extinction","healthy",0.19,0.0252603316868427,0.0440368663657037,Inf,-0.0610503403819398,0.111571003755625,"extinction healthy",0.19
"199","acquisition","ptsd",0.19,-0.0472234335617712,0.0444569283765452,Inf,-0.134357412043077,0.0399105449195342,"acquisition ptsd",0.19
"200","extinction","ptsd",0.19,0.0189850577059731,0.0448851254632986,Inf,-0.0689881716436538,0.1069582870556,"extinction ptsd",0.19
"201","acquisition","healthy",0.2,-0.0139117411803111,0.0445801572813989,Inf,-0.101287243876984,0.0734637615163617,"acquisition healthy",0.2
"202","extinction","healthy",0.2,0.0273954664369455,0.0441297655711152,Inf,-0.059097284728636,0.113888217602527,"extinction healthy",0.2
"203","acquisition","ptsd",0.2,-0.0466749507280618,0.044572373531415,Inf,-0.134035197555102,0.040685296098978,"acquisition ptsd",0.2
"204","extinction","ptsd",0.2,0.0193584879624795,0.0450324967875754,Inf,-0.0689035838750839,0.107620559800043,"extinction ptsd",0.2
"205","acquisition","healthy",0.21,-0.013318611530659,0.0446916082855542,Inf,-0.100912554181517,0.074275331120199,"acquisition healthy",0.21
"206","extinction","healthy",0.21,0.0295306011870484,0.0442295576623649,Inf,-0.0571577388833244,0.116218941257421,"extinction healthy",0.21
"207","acquisition","ptsd",0.21,-0.0461264678943525,0.0446939690928085,Inf,-0.133725037642403,0.0414721018536983,"acquisition ptsd",0.21
"208","extinction","ptsd",0.21,0.0197319182189859,0.0451870009978774,Inf,-0.0688329763062293,0.108296812744201,"extinction ptsd",0.21
"209","acquisition","healthy",0.22,-0.0127254818810069,0.044808167413935,Inf,-0.100547876225561,0.0750969124635469,"acquisition healthy",0.22
"210","extinction","healthy",0.22,0.0316657359371512,0.0443361960958704,Inf,-0.0552316116222601,0.118563083496563,"extinction healthy",0.22
"211","acquisition","ptsd",0.22,-0.0455779850606432,0.0448216650049065,Inf,-0.133426834197379,0.0422708640760927,"acquisition ptsd",0.22
"212","extinction","ptsd",0.22,0.0201053484754923,0.0453485651882573,Inf,-0.0687762060440589,0.108986902995044,"extinction ptsd",0.22
"213","acquisition","healthy",0.23,-0.0121323522313549,0.0449297949113024,Inf,-0.100193132090279,0.0759284276275689,"acquisition healthy",0.23
"214","extinction","healthy",0.23,0.0338008706872541,0.044449631596793,Inf,-0.0533188063685338,0.120920547743042,"extinction healthy",0.23
"215","acquisition","ptsd",0.23,-0.0450295022269339,0.0449554092835713,Inf,-0.133140485332991,0.0430814808791234,"acquisition ptsd",0.23
"216","extinction","ptsd",0.23,0.0204787787319987,0.0455171141800239,Inf,-0.0687331257410455,0.109690683205043,"extinction ptsd",0.23
"217","acquisition","healthy",0.24,-0.0115392225817028,0.045056449732295,Inf,-0.0998482413282404,0.0767697961648348,"acquisition healthy",0.24
"218","extinction","healthy",0.24,0.035936005437357,0.0445698122671152,Inf,-0.0514192214039004,0.123291232278614,"extinction healthy",0.24
"219","acquisition","ptsd",0.24,-0.0444810193932245,0.0450951481136604,Inf,-0.132865885573498,0.0439038467870491,"acquisition ptsd",0.24
"220","extinction","ptsd",0.24,0.0208522089885051,0.045692570677445,Inf,-0.0687035839003379,0.110408001877348,"extinction ptsd",0.24
"221","acquisition","healthy",0.25,-0.0109460929320508,0.045188089604636,Inf,-0.0995131210873061,0.0776209352232046,"acquisition healthy",0.25
"222","extinction","healthy",0.25,0.0380711401874598,0.0446966836975329,Inf,-0.0495327500880833,0.125675030463003,"extinction healthy",0.25
"223","acquisition","ptsd",0.25,-0.0439325365595152,0.0452408259477072,Inf,-0.132602926047866,0.0447378529288361,"acquisition ptsd",0.25
"224","extinction","ptsd",0.25,0.0212256392450116,0.0458748554236581,Inf,-0.0686874251813402,0.111138703671363,"extinction ptsd",0.25
"225","acquisition","healthy",0.26,-0.0103529632823987,0.0453246710929606,Inf,-0.0991876862357251,0.0784817596709277,"acquisition healthy",0.26
"226","extinction","healthy",0.26,0.0402062749375627,0.0448301890826355,Inf,-0.0476592810845236,0.128071830959649,"extinction healthy",0.26
"227","acquisition","ptsd",0.26,-0.0433840537258059,0.0453923856055916,Inf,-0.13235149468512,0.045583387233508,"acquisition ptsd",0.26
"228","extinction","ptsd",0.26,0.021599069501518,0.0460638873561711,Inf,-0.0686844907044873,0.111882629707523,"extinction ptsd",0.26
"229","acquisition","healthy",0.27,-0.00975983363274664,0.0454661496630643,Inf,-0.0988718494880605,0.0793521822225672,"acquisition healthy",0.27
"230","extinction","healthy",0.27,0.0423414096876655,0.044970269338848,Inf,-0.0457986985915424,0.130481517966873,"extinction healthy",0.27
"231","acquisition","ptsd",0.27,-0.0428355708920965,0.0455497683748328,Inf,-0.13211147641091,0.0464403346267172,"acquisition ptsd",0.27
"232","extinction","ptsd",0.27,0.0219724997580244,0.0462595837613652,Inf,-0.0686946183540653,0.112639617870114,"extinction ptsd",0.27
"233","acquisition","healthy",0.28,-0.00916670398309459,0.0456124797463799,Inf,-0.0985655215315619,0.0802321135653727,"acquisition healthy",0.28
"234","extinction","healthy",0.28,0.0444765444377684,0.045116863224612,Inf,-0.0439508825778908,0.132903971453427,"extinction healthy",0.28
"235","acquisition","ptsd",0.28,-0.0422870880583872,0.0457129141111494,Inf,-0.131882753344613,0.0473085772278383,"acquisition ptsd",0.28
"236","extinction","ptsd",0.28,0.0223459300145308,0.0464618604274492,Inf,-0.0687176430779963,0.113409503107058,"extinction ptsd",0.28
"237","acquisition","healthy",0.29,-0.00857357433344253,0.0457636148044965,Inf,-0.0982686111526197,0.0811214624857347,"acquisition healthy",0.29
