subject,roi,phase,condition,beta
12,hc_tail,acquisition,CS-,32.71067725083601
12,hc_tail,baseline,CS+,17.870163468333587
12,hc_tail,baseline,CS-,25.006306406800395
12,hc_tail,extinction,CS+,15.691660704349893
12,hc_tail,extinction,CS-,34.244747284901145
13,amyg_bla,acquisition,CS+,-6.655422756237843
13,amyg_bla,acquisition,CS-,10.722825766934493
13,amyg_bla,baseline,CS+,4.981816824177601
13,amyg_bla,baseline,CS-,4.270277472373318
13,amyg_bla,extinction,CS+,-1.4877398899040206
13,amyg_bla,extinction,CS-,2.8503700543022883
13,amyg_cem,acquisition,CS+,17.631485984210048
13,amyg_cem,acquisition,CS-,28.862486275914375
13,amyg_cem,baseline,CS+,32.15895280505297
13,amyg_cem,baseline,CS-,12.264607029296055
13,amyg_cem,extinction,CS+,28.409891657545657
13,amyg_cem,extinction,CS-,24.89304057903768
13,hc_body,acquisition,CS+,-8.018064210233895
13,hc_body,acquisition,CS-,-9.783587754636017
13,hc_body,baseline,CS+,-2.7003552967614812
13,hc_body,baseline,CS-,-0.4461930974091076
13,hc_body,extinction,CS+,3.0984045856134736
13,hc_body,extinction,CS-,-8.430324508604429
13,hc_tail,acquisition,CS+,10.023786687404446
13,hc_tail,acquisition,CS-,12.018227950904308
13,hc_tail,baseline,CS+,26.48345809354413
13,hc_tail,baseline,CS-,22.565788275955228
13,hc_tail,extinction,CS+,18.624713894646906
13,hc_tail,extinction,CS-,13.550442836187939
14,amyg_bla,acquisition,CS+,-20.166233441001683
14,amyg_bla,acquisition,CS-,-42.15715644970308
14,amyg_bla,baseline,CS+,-23.88071522364428
14,amyg_bla,baseline,CS-,-22.210812496738004
14,amyg_bla,extinction,CS+,-35.751976218176324
14,amyg_bla,extinction,CS-,-33.21550552362617
14,amyg_cem,acquisition,CS+,-1.55986065236908
14,amyg_cem,acquisition,CS-,-26.458459047722922
14,amyg_cem,baseline,CS+,3.5657868004037123
14,amyg_cem,baseline,CS-,-6.662757307497992
14,amyg_cem,extinction,CS+,-7.2050455817670525
14,amyg_cem,extinction,CS-,-16.023218166045467
14,hc_body,acquisition,CS+,0.058377285325424924
14,hc_body,acquisition,CS-,-2.4880766241057937
14,hc_body,baseline,CS+,2.7364580026572094
14,hc_body,baseline,CS-,1.8685639399459917
14,hc_body,extinction,CS+,7.740097923102041
14,hc_body,extinction,CS-,2.908634147205043
14,hc_tail,acquisition,CS+,1.5238648732992437
14,hc_tail,acquisition,CS-,-12.646636486994195
14,hc_tail,baseline,CS+,0.1332680084939571
14,hc_tail,baseline,CS-,-1.41343346065042
14,hc_tail,extinction,CS+,10.635913033226524
14,hc_tail,extinction,CS-,-3.140666278775292
15,amyg_bla,acquisition,CS+,3.0146805833147936
15,amyg_bla,acquisition,CS-,3.025097568815614
15,amyg_bla,baseline,CS+,-6.680433625836688
15,amyg_bla,baseline,CS-,-2.613255442330225
15,amyg_bla,extinction,CS+,0.9188626906535494
15,amyg_bla,extinction,CS-,1.6235847836686084
15,amyg_cem,acquisition,CS+,17.433056770099533
15,amyg_cem,acquisition,CS-,30.541766580810407
15,amyg_cem,baseline,CS+,16.929904410107568
15,amyg_cem,baseline,CS-,0.7098156704633224
15,amyg_cem,extinction,CS+,18.59237171130048
15,amyg_cem,extinction,CS-,21.922641689089517
15,hc_body,acquisition,CS+,-11.969410925823073
15,hc_body,acquisition,CS-,-11.358872905341782
15,hc_body,baseline,CS+,-11.2446822312092
15,hc_body,baseline,CS-,-15.937933819777571
15,hc_body,extinction,CS+,-19.52912734302853
15,hc_body,extinction,CS-,-16.51897045649143
15,hc_tail,acquisition,CS+,30.5530072316813
15,hc_tail,acquisition,CS-,34.600583375566934
15,hc_tail,baseline,CS+,25.33035475158443
15,hc_tail,baseline,CS-,16.96798062340046
15,hc_tail,extinction,CS+,14.63182910173394
15,hc_tail,extinction,CS-,26.566133464835968
16,amyg_bla,acquisition,CS+,-13.707196290536473
16,amyg_bla,acquisition,CS-,-4.5818597577450175
16,amyg_bla,baseline,CS+,-12.186264752550052
16,amyg_bla,baseline,CS-,-11.365123373677488
16,amyg_bla,extinction,CS+,-6.0465218049822305
16,amyg_bla,extinction,CS-,-9.294950416943756
16,amyg_cem,acquisition,CS+,11.827104559546571
16,amyg_cem,acquisition,CS-,7.588478144209755
16,amyg_cem,baseline,CS+,2.30877815495478
16,amyg_cem,baseline,CS-,11.919532259636377
16,amyg_cem,extinction,CS+,15.086068067084696
16,amyg_cem,extinction,CS-,7.221815190588433
16,hc_body,acquisition,CS+,-21.517623564294013
16,hc_body,acquisition,CS-,-18.015826862407962
16,hc_body,baseline,CS+,-28.26167397151631
16,hc_body,baseline,CS-,-17.273724353790932
16,hc_body,extinction,CS+,-19.45151155545544
16,hc_body,extinction,CS-,-15.669463427118323
