roi,cope,subject,phase,beta
hc_tail,CS+A,112,memory_run-02,-0.0723186
hc_tail,CS+A,112,memory_run-03,-0.07693971
hc_tail,CS+A,113,memory_run-01,0.29260522
hc_tail,CS+A,113,memory_run-02,-0.014144448
hc_tail,CS+A,113,memory_run-03,0.40297955
hc_tail,CS+A,114,memory_run-01,0.025417116
hc_tail,CS+A,114,memory_run-02,0.36389184
hc_tail,CS+A,114,memory_run-03,0.06598316
hc_tail,CS+A,115,memory_run-01,-0.14617004
hc_tail,CS+A,115,memory_run-02,0.0050529055
hc_tail,CS+A,115,memory_run-03,0.012138112
hc_tail,CS+A,116,memory_run-01,0.0287989
hc_tail,CS+A,116,memory_run-02,0.06463999
hc_tail,CS+A,116,memory_run-03,0.21189435
hc_tail,CS+A,117,memory_run-01,0.0849701
hc_tail,CS+A,117,memory_run-02,-0.11614181
hc_tail,CS+A,117,memory_run-03,0.5450633
hc_tail,CS+A,118,memory_run-01,0.05021269
hc_tail,CS+A,118,memory_run-02,0.17315944
hc_tail,CS+A,118,memory_run-03,-0.029823627
hc_tail,CS+A,120,memory_run-01,-0.013212336
hc_tail,CS+A,120,memory_run-02,0.15868077
hc_tail,CS+A,120,memory_run-03,0.0072546774
hc_tail,CS+A,121,memory_run-01,-0.035527617
hc_tail,CS+A,121,memory_run-02,0.28813714
hc_tail,CS+A,121,memory_run-03,0.35605776
hc_tail,CS+A,122,memory_run-01,0.09438747
hc_tail,CS+A,122,memory_run-02,0.15975167
hc_tail,CS+A,122,memory_run-03,0.3272267
hc_tail,CS+A,123,memory_run-01,0.092585035
hc_tail,CS+A,123,memory_run-02,-0.028765254
hc_tail,CS+A,123,memory_run-03,0.3074422
hc_tail,CS+A,124,memory_run-01,0.08625742
hc_tail,CS+A,124,memory_run-02,0.08834879
hc_tail,CS+A,124,memory_run-03,-0.07479777
hc_tail,CS+A,125,memory_run-01,0.26617527
hc_tail,CS+A,125,memory_run-02,0.16163018
hc_tail,CS+A,125,memory_run-03,0.42520592
hc_tail,CS-A,1,memory_run-01,-0.05895614
hc_tail,CS-A,1,memory_run-02,-0.102349445
hc_tail,CS-A,1,memory_run-03,-0.09053266
