subject,roi,phase,condition,beta
25,rACC,acquisition,CS+,-19.656574242080403
25,rACC,acquisition,CS-,30.8309149687815
25,rACC,baseline,CS+,6.681023101195354
25,rACC,baseline,CS-,-7.726935567876782
25,rACC,extinction,CS+,53.63564988096422
25,rACC,extinction,CS-,-9.52742492242334
25,sgACC,acquisition,CS+,-82.80183376819261
25,sgACC,acquisition,CS-,-109.60964968860426
25,sgACC,baseline,CS+,-88.39674539262052
25,sgACC,baseline,CS-,-81.57473872645812
25,sgACC,extinction,CS+,-100.73085269870559
25,sgACC,extinction,CS-,-85.90470314892457
26,rACC,acquisition,CS+,-24.305648170222216
26,rACC,acquisition,CS-,-9.806191082752
26,rACC,baseline,CS+,-15.09807797517705
26,rACC,baseline,CS-,-21.92987242142825
26,rACC,extinction,CS+,6.503731566332281
26,rACC,extinction,CS-,-33.56963583653405
26,sgACC,acquisition,CS+,-50.38531980210024
26,sgACC,acquisition,CS-,-21.650210513671816
26,sgACC,baseline,CS+,-56.947883993611796
26,sgACC,baseline,CS-,-27.413530100650544
26,sgACC,extinction,CS+,7.76346110628178
26,sgACC,extinction,CS-,-26.94947989277396
101,rACC,acquisition,CS+,80.67818095978939
101,rACC,acquisition,CS-,89.10201921028043
101,rACC,baseline,CS+,85.77539751083107
101,rACC,baseline,CS-,55.983218713633114
101,rACC,extinction,CS+,79.29780250501297
101,rACC,extinction,CS-,79.4680132252481
101,sgACC,acquisition,CS+,-68.4139376773646
101,sgACC,acquisition,CS-,-61.3466117539296
101,sgACC,baseline,CS+,-51.91725621650551
101,sgACC,baseline,CS-,-77.34254700051326
101,sgACC,extinction,CS+,-88.89412397705713
101,sgACC,extinction,CS-,-54.11697757205387
102,rACC,acquisition,CS+,41.95958126269358
102,rACC,acquisition,CS-,33.950652023033086
102,rACC,baseline,CS+,64.35851518205135
102,rACC,baseline,CS-,40.094627702515574
102,rACC,extinction,CS+,63.20998001821663
102,rACC,extinction,CS-,83.22306044605871
102,sgACC,acquisition,CS+,-23.6090771481169
102,sgACC,acquisition,CS-,-32.36684576118449
102,sgACC,baseline,CS+,-33.418570409048435
102,sgACC,baseline,CS-,-39.3979996771721
102,sgACC,extinction,CS+,-50.64543692586067
102,sgACC,extinction,CS-,-15.99640119736732
103,rACC,acquisition,CS+,31.746731462604906
103,rACC,acquisition,CS-,40.70913722827321
103,rACC,baseline,CS+,49.68288771051052
103,rACC,baseline,CS-,32.61937197949183
103,rACC,extinction,CS+,52.242967845273334
103,rACC,extinction,CS-,48.377765414469756
103,sgACC,acquisition,CS+,-106.30470177519744
103,sgACC,acquisition,CS-,-109.51634753243006
103,sgACC,baseline,CS+,-95.4173708636555
103,sgACC,baseline,CS-,-112.62831328783392
103,sgACC,extinction,CS+,-85.52143726933656
103,sgACC,extinction,CS-,-54.21074511865039
104,rACC,acquisition,CS+,38.787566818500736
104,rACC,acquisition,CS-,23.64756258199106
104,rACC,baseline,CS+,48.04251449212569
104,rACC,baseline,CS-,37.4533271927352
104,rACC,extinction,CS+,31.89317479564084
104,rACC,extinction,CS-,10.243232205623027
104,sgACC,acquisition,CS+,12.859444644408171
104,sgACC,acquisition,CS-,6.227177177980026
104,sgACC,baseline,CS+,10.2271845216221
104,sgACC,baseline,CS-,11.030746935408796
104,sgACC,extinction,CS+,17.916627032447366
104,sgACC,extinction,CS-,8.009358545223066
105,rACC,acquisition,CS+,41.6662511198285
105,rACC,acquisition,CS-,18.45609116382103
105,rACC,baseline,CS+,43.2145262971916
105,rACC,baseline,CS-,18.275324907424228
105,rACC,extinction,CS+,12.017312365640242
105,rACC,extinction,CS-,11.733102358314985
105,sgACC,acquisition,CS+,-117.5408895602058
105,sgACC,acquisition,CS-,-106.02496833127478
105,sgACC,baseline,CS+,-100.45142344296171
105,sgACC,baseline,CS-,-104.96056326443154
105,sgACC,extinction,CS+,-82.75542683081635
105,sgACC,extinction,CS-,-94.68293264824415
106,rACC,acquisition,CS+,41.71567197361026
106,rACC,acquisition,CS-,51.87873055648548
106,rACC,baseline,CS+,38.96693318559214
106,rACC,baseline,CS-,52.50626905003456
106,rACC,extinction,CS+,55.24882557305511
106,rACC,extinction,CS-,46.69664016871491
106,sgACC,acquisition,CS+,-159.942652678091
106,sgACC,acquisition,CS-,-152.14935014755056
106,sgACC,baseline,CS+,-136.5814602484322
106,sgACC,baseline,CS-,-152.39545523211228
106,sgACC,extinction,CS+,-170.61513604685467
106,sgACC,extinction,CS-,-129.98377355406421
107,rACC,acquisition,CS+,60.20458868853364
107,rACC,acquisition,CS-,85.92162212326882
107,rACC,baseline,CS+,73.79405557828802
107,rACC,baseline,CS-,84.66037707011246
107,rACC,extinction,CS+,86.421904785801
107,rACC,extinction,CS-,55.14098500643146
107,sgACC,acquisition,CS+,-110.40645749230872
107,sgACC,acquisition,CS-,-123.53868063923633
107,sgACC,baseline,CS+,-116.1926760613567
107,sgACC,baseline,CS-,-126.42425723154072
107,sgACC,extinction,CS+,-118.85030128595166
107,sgACC,extinction,CS-,-137.5669910731829
108,rACC,acquisition,CS+,128.25810290224294
108,rACC,acquisition,CS-,153.3955064066844
108,rACC,baseline,CS+,119.40507283399268
108,rACC,baseline,CS-,131.39562713950681
108,rACC,extinction,CS+,150.39983854570892
108,rACC,extinction,CS-,121.87998300725056
108,sgACC,acquisition,CS+,-41.71168254097744
108,sgACC,acquisition,CS-,-21.01892561116176
108,sgACC,baseline,CS+,-70.79663944481216
108,sgACC,baseline,CS-,-19.388956415094114
108,sgACC,extinction,CS+,-45.20872609770162
108,sgACC,extinction,CS-,-53.258100863418115
109,rACC,acquisition,CS+,-21.063876111808383
109,rACC,acquisition,CS-,-11.042945640819982
109,rACC,baseline,CS+,-2.708700946647267
109,rACC,baseline,CS-,-22.169163948040048
109,rACC,extinction,CS+,15.224401002632048
109,rACC,extinction,CS-,-26.945569995298296
109,sgACC,acquisition,CS+,-39.10518736868573
109,sgACC,acquisition,CS-,-17.158949592956144
109,sgACC,baseline,CS+,-30.286398427700927
109,sgACC,baseline,CS-,-17.365341328194035
109,sgACC,extinction,CS+,-21.56424746721423
109,sgACC,extinction,CS-,-32.478540871803666
110,rACC,acquisition,CS+,67.3401883343043
110,rACC,acquisition,CS-,90.602308058335
110,rACC,baseline,CS+,98.37747450871686
110,rACC,baseline,CS-,59.83525085053595
110,rACC,extinction,CS+,89.19945491805794
110,rACC,extinction,CS-,86.33186583238522
110,sgACC,acquisition,CS+,-66.14817426828563
110,sgACC,acquisition,CS-,-49.693680006830874
110,sgACC,baseline,CS+,-58.56325248308474
110,sgACC,baseline,CS-,-43.88023630915658
110,sgACC,extinction,CS+,-53.955725582062094
110,sgACC,extinction,CS-,-49.57952616754032
111,rACC,acquisition,CS+,17.53898530385576
111,rACC,acquisition,CS-,0.6714805470422861
111,rACC,baseline,CS+,-5.317994555659883
111,rACC,baseline,CS-,17.04883315076008
111,rACC,extinction,CS+,34.639483437295475
111,rACC,extinction,CS-,29.30786062486417
111,sgACC,acquisition,CS+,75.48655985773541
111,sgACC,acquisition,CS-,72.92870591524057
111,sgACC,baseline,CS+,73.67817177498092
111,sgACC,baseline,CS-,90.67434064500034
111,sgACC,extinction,CS+,75.38368872646242
111,sgACC,extinction,CS-,80.10705068071684
112,rACC,acquisition,CS+,6.406252682960864
112,rACC,acquisition,CS-,13.909246279440898
112,rACC,baseline,CS+,37.197539931104984
112,rACC,baseline,CS-,5.569085882239354
112,rACC,extinction,CS+,29.45366145886429
112,rACC,extinction,CS-,40.48189725528775
112,sgACC,acquisition,CS+,-47.216967360306604
112,sgACC,acquisition,CS-,-76.94895663515658
112,sgACC,baseline,CS+,-73.01392029026574
112,sgACC,baseline,CS-,-70.01638707867981
112,sgACC,extinction,CS+,-46.493808397082425
112,sgACC,extinction,CS-,-76.064673145856
113,rACC,acquisition,CS+,139.02502772048985
113,rACC,acquisition,CS-,142.29826856908815
113,rACC,baseline,CS+,168.08626119987832
113,rACC,baseline,CS-,119.07705422334392
113,rACC,extinction,CS+,141.22785578889008
113,rACC,extinction,CS-,111.00280277439322
113,sgACC,acquisition,CS+,-11.240829519166294
113,sgACC,acquisition,CS-,-10.991966051890053
113,sgACC,baseline,CS+,-8.8899764820325
113,sgACC,baseline,CS-,-19.47276166378229
113,sgACC,extinction,CS+,1.6896101408717819
113,sgACC,extinction,CS-,-2.0171804002906364
114,rACC,acquisition,CS+,21.65875819038087
114,rACC,acquisition,CS-,-3.161072217103472
114,rACC,baseline,CS+,-30.25703929559044
114,rACC,baseline,CS-,-5.241401002086038
114,rACC,extinction,CS+,26.03112202454628
114,rACC,extinction,CS-,-11.218095742187637
114,sgACC,acquisition,CS+,3.0217871559162934
114,sgACC,acquisition,CS-,1.005859281441995
114,sgACC,baseline,CS+,18.17945778007981
114,sgACC,baseline,CS-,16.882213715623532
114,sgACC,extinction,CS+,2.0433774998855023
114,sgACC,extinction,CS-,-6.664965255537795
115,rACC,acquisition,CS+,39.16098556758758
115,rACC,acquisition,CS-,33.02828332403695
115,rACC,baseline,CS+,16.022629769548857
115,rACC,baseline,CS-,44.793743284415946
115,rACC,extinction,CS+,33.360863598607914
115,rACC,extinction,CS-,16.75998873960796
115,sgACC,acquisition,CS+,-63.14780275881503
115,sgACC,acquisition,CS-,-51.041523010869746
115,sgACC,baseline,CS+,-51.83654599672353
115,sgACC,baseline,CS-,-30.681360277333155
115,sgACC,extinction,CS+,-57.76733875635997
115,sgACC,extinction,CS-,-60.53942326215858
116,rACC,acquisition,CS+,85.64265301896052
116,rACC,acquisition,CS-,84.16255373251826
