group,memory_phase,roi,condition,el,subject,rsa
healthy,encoding,A9m,CS+,early,6,0.4220067507589882
healthy,encoding,A9m,CS+,early,7,0.16105893279527758
healthy,encoding,A9m,CS+,early,8,0.5247147141987223
healthy,encoding,A9m,CS+,early,9,0.12074234291707178
healthy,encoding,A9m,CS+,early,10,0.12506457730593187
healthy,encoding,A9m,CS+,early,12,0.5330575538035198
healthy,encoding,A9m,CS+,early,13,0.4436342341411463
healthy,encoding,A9m,CS+,early,14,0.004894488877894349
healthy,encoding,A9m,CS+,early,15,-0.013883644798515837
healthy,encoding,A9m,CS+,early,16,0.6407754656677
healthy,encoding,A9m,CS+,early,17,0.06650425661332199
healthy,encoding,A9m,CS+,early,18,0.06890792610844854
healthy,encoding,A9m,CS+,early,19,0.24814319183213124
healthy,encoding,A9m,CS+,early,21,0.38653482130335415
healthy,encoding,A9m,CS+,early,23,0.2899285947920313
healthy,encoding,A9m,CS+,early,24,0.4961666659829972
healthy,encoding,A9m,CS+,early,25,0.11736637853057116
healthy,encoding,A9m,CS+,early,26,0.3938101857622549
healthy,encoding,A8m,CS+,early,1,0.5329328186790677
healthy,encoding,A8m,CS+,early,2,1.0669546401796173
healthy,encoding,A8m,CS+,early,3,0.0166676078189731
healthy,encoding,A8m,CS+,early,4,0.17795878710569843
healthy,encoding,A8m,CS+,early,5,0.3632716476795539
healthy,encoding,A8m,CS+,early,6,0.5737955094119944
healthy,encoding,A8m,CS+,early,7,0.4391037143587989
healthy,encoding,A8m,CS+,early,8,1.0498994988737893
healthy,encoding,A8m,CS+,early,9,0.3802956495333937
healthy,encoding,A8m,CS+,early,10,0.557289983372992
healthy,encoding,A8m,CS+,early,12,0.038062897795045667
healthy,encoding,A8m,CS+,early,13,0.29041618510509526
healthy,encoding,A8m,CS+,early,14,0.09303833001044542
healthy,encoding,A8m,CS+,early,15,0.05771816901544095
healthy,encoding,A8m,CS+,early,16,0.658303557694548
healthy,encoding,A8m,CS+,early,17,0.15654401383892244
healthy,encoding,A8m,CS+,early,18,0.15605069092758247
healthy,encoding,A8m,CS+,early,19,0.19656267671564165
healthy,encoding,A8m,CS+,early,21,0.2946726476209512
healthy,encoding,A8m,CS+,early,23,0.1734146462259267
healthy,encoding,A8m,CS+,early,24,1.07350617342916
