subject,phase,block,condition,hc_cr,hc_hr,lc_cr,lc_hr
2,fear_conditioning,4,CS+,0.3333333333333333,0.75,0.3125,0.75
2,fear_conditioning,4,CS-,-0.2916666666666667,0.0,-0.3541666666666667,0.0
2,fear_conditioning,5,CS+,0.5833333333333333,1.0,0.5625,1.0
2,fear_conditioning,5,CS-,-0.041666666666666685,0.25,0.14583333333333331,0.5
2,fear_conditioning,6,CS+,0.3333333333333333,0.75,0.3125,0.75
2,fear_conditioning,6,CS-,-0.041666666666666685,0.25,0.14583333333333331,0.5
3,baseline,1,CS+,0.6875,0.75,0.75,1.0
3,baseline,1,CS-,0.20833333333333334,0.25,0.35416666666666663,0.5
3,baseline,2,CS+,0.1875,0.25,0.5,0.75
3,baseline,2,CS-,0.20833333333333334,0.25,0.35416666666666663,0.5
3,baseline,3,CS+,0.4375,0.5,0.5,0.75
3,baseline,3,CS-,0.20833333333333334,0.25,0.35416666666666663,0.5
3,baseline,4,CS+,0.1875,0.25,0.25,0.5
3,baseline,4,CS-,-0.041666666666666664,0.0,-0.14583333333333334,0.0
3,baseline,5,CS+,0.1875,0.25,0.5,0.75
3,baseline,5,CS-,0.7083333333333334,0.75,0.6041666666666666,0.75
3,baseline,6,CS+,0.1875,0.25,0.25,0.5
3,baseline,6,CS-,0.4583333333333333,0.5,0.6041666666666666,0.75
3,extinction,1,CS+,0.4375,0.5,0.75,1.0
3,extinction,1,CS-,-0.041666666666666664,0.0,0.35416666666666663,0.5
3,extinction,2,CS+,-0.0625,0.0,0.25,0.5
3,extinction,2,CS-,0.20833333333333334,0.25,0.35416666666666663,0.5
3,extinction,3,CS+,0.4375,0.5,0.5,0.75
3,extinction,3,CS-,0.4583333333333333,0.5,0.6041666666666666,0.75
3,extinction,4,CS+,0.4375,0.5,0.75,1.0
3,extinction,4,CS-,-0.041666666666666664,0.0,0.10416666666666666,0.25
3,extinction,5,CS+,0.4375,0.5,0.75,1.0
3,extinction,5,CS-,0.20833333333333334,0.25,0.35416666666666663,0.5
3,extinction,6,CS+,0.1875,0.25,0.75,1.0
3,extinction,6,CS-,-0.041666666666666664,0.0,0.10416666666666666,0.25
3,fear_conditioning,1,CS+,0.4375,0.5,0.25,0.5
3,fear_conditioning,1,CS-,-0.041666666666666664,0.0,0.35416666666666663,0.5
3,fear_conditioning,2,CS+,-0.0625,0.0,0.75,1.0
3,fear_conditioning,2,CS-,-0.041666666666666664,0.0,0.10416666666666666,0.25
3,fear_conditioning,3,CS+,-0.0625,0.0,0.0,0.25
