group,phase,condition,subject,proba
ptsd,baseline,CS+,113,0.6787285496790813
ptsd,baseline,CS+,114,0.6865780165999986
ptsd,baseline,CS+,115,0.8807025030923062
ptsd,baseline,CS+,116,0.5335901437743417
ptsd,baseline,CS+,117,0.24288525869901478
ptsd,baseline,CS+,118,0.6280791363304876
ptsd,baseline,CS+,120,0.6797648324345359
ptsd,baseline,CS+,121,0.671479488879867
ptsd,baseline,CS+,122,0.8666558516013135
ptsd,baseline,CS+,123,0.6966189950245444
ptsd,baseline,CS+,124,0.8696853368631147
ptsd,baseline,CS+,125,0.5978162505305777
ptsd,baseline,CS-,101,0.28958630829444193
ptsd,baseline,CS-,102,0.543391578226611
ptsd,baseline,CS-,103,0.44824296371366623
ptsd,baseline,CS-,104,0.31982113283981534
ptsd,baseline,CS-,105,0.1340551771854189
ptsd,baseline,CS-,106,0.13482788622427908
ptsd,baseline,CS-,107,0.7682816892153469
ptsd,baseline,CS-,108,0.8766524144667627
ptsd,baseline,CS-,109,0.42065321585455906
ptsd,baseline,CS-,110,0.3243958307637891
ptsd,baseline,CS-,111,0.26782430287479864
ptsd,baseline,CS-,112,0.8842635239785542
ptsd,baseline,CS-,113,0.7657716791074173
ptsd,baseline,CS-,114,0.7408955542525052
ptsd,baseline,CS-,115,0.8792090062721525
ptsd,baseline,CS-,116,0.5851802792823703
ptsd,baseline,CS-,117,0.39149181470113265
ptsd,baseline,CS-,118,0.37832162639511263
ptsd,baseline,CS-,120,0.8129639301357661
ptsd,baseline,CS-,121,0.912032451330859
ptsd,baseline,CS-,122,0.7163676423203086
ptsd,baseline,CS-,123,0.5658353406901556
ptsd,baseline,CS-,124,0.8776453522797895
ptsd,baseline,CS-,125,0.5258183486669773
ptsd,extinction,CS+,101,0.5277655272416562
ptsd,extinction,CS+,102,0.8554645002502957
ptsd,extinction,CS+,103,0.4006369710375626
ptsd,extinction,CS+,104,0.5195290036388976
ptsd,extinction,CS+,105,0.192046306371798
ptsd,extinction,CS+,106,0.3417571020217847
ptsd,extinction,CS+,107,0.7135041310757297
ptsd,extinction,CS+,108,0.9178788780523012
ptsd,extinction,CS+,109,0.36363172231750385
ptsd,extinction,CS+,110,0.6522080044390233
ptsd,extinction,CS+,111,0.312644305477858
ptsd,extinction,CS+,112,0.7732464926358945
ptsd,extinction,CS+,113,0.6729937998596036
ptsd,extinction,CS+,114,0.6852413838110282
ptsd,extinction,CS+,115,0.8946596938966322
ptsd,extinction,CS+,116,0.5344537721404425
ptsd,extinction,CS+,117,0.32934396879888844
ptsd,extinction,CS+,118,0.5538334319437711
ptsd,extinction,CS+,120,0.7291532155883265
ptsd,extinction,CS+,121,0.824527573084326
ptsd,extinction,CS+,122,0.636999894679987
ptsd,extinction,CS+,123,0.7450277468872593
ptsd,extinction,CS+,124,0.7506460563136238
ptsd,extinction,CS+,125,0.5564644023042086
ptsd,extinction,CS-,101,0.2639440864747073
ptsd,extinction,CS-,102,0.6332454621956201
ptsd,extinction,CS-,103,0.4295606908833199
ptsd,extinction,CS-,104,0.37973400195733803
ptsd,extinction,CS-,105,0.12478422782107751
ptsd,extinction,CS-,106,0.1514191644880545
ptsd,extinction,CS-,107,0.7290615461182695
ptsd,extinction,CS-,108,0.9836999831817459
ptsd,extinction,CS-,109,0.5415090067400016
ptsd,extinction,CS-,110,0.5553609291493985
ptsd,extinction,CS-,111,0.3202568698193603
ptsd,extinction,CS-,112,0.9378542739732055
ptsd,extinction,CS-,113,0.7728343142011384
ptsd,extinction,CS-,114,0.7716847435790135
ptsd,extinction,CS-,115,0.879718706306193
ptsd,extinction,CS-,116,0.5282156326324382
ptsd,extinction,CS-,117,0.382147133316594
ptsd,extinction,CS-,118,0.3685037829360745
ptsd,extinction,CS-,120,0.6576635996982486
ptsd,extinction,CS-,121,0.8858002315803888
ptsd,extinction,CS-,122,0.5739670818057561
ptsd,extinction,CS-,123,0.7916450925051968
ptsd,extinction,CS-,124,0.8399783165777857
ptsd,extinction,CS-,125,0.5903468632338048
ptsd,foil,CS+,101,0.4025775766724964
ptsd,foil,CS+,102,0.835938152821837
ptsd,foil,CS+,103,0.46005457214974865
ptsd,foil,CS+,104,0.3296329146015917
ptsd,foil,CS+,105,0.14955893290662925
ptsd,foil,CS+,106,0.38002962405018037
ptsd,foil,CS+,107,0.7722731580214058
ptsd,foil,CS+,108,0.884493044733805
ptsd,foil,CS+,109,0.3875114117837765
ptsd,foil,CS+,110,0.5877834426049051
ptsd,foil,CS+,111,0.20851955054082125
ptsd,foil,CS+,112,0.8632784418061172
ptsd,foil,CS+,113,0.7103848699264019
ptsd,foil,CS+,114,0.6256410032964951
ptsd,foil,CS+,115,0.9001369595925209
ptsd,foil,CS+,116,0.7335226449225041
ptsd,foil,CS+,117,0.32879896134949654
ptsd,foil,CS+,118,0.5413703885515067
ptsd,foil,CS+,120,0.8061842475370966
ptsd,foil,CS+,121,0.8848915442323928
ptsd,foil,CS+,122,0.8678474742288969
ptsd,foil,CS+,123,0.6540099848002187
ptsd,foil,CS+,124,0.7369071701086566
ptsd,foil,CS+,125,0.642258479661785
ptsd,foil,CS-,101,0.29142088905352054
ptsd,foil,CS-,102,0.6847496502416035
ptsd,foil,CS-,103,0.602537762959837
ptsd,foil,CS-,104,0.3349811421020286
ptsd,foil,CS-,105,0.026800746356585005
ptsd,foil,CS-,106,0.18198848713627166
ptsd,foil,CS-,107,0.8331631153045741
ptsd,foil,CS-,108,0.9934234109160069
ptsd,foil,CS-,109,0.31230556496221423
ptsd,foil,CS-,110,0.5947203531700657
ptsd,foil,CS-,111,0.2432512120574962
ptsd,foil,CS-,112,0.9104519611587185
ptsd,foil,CS-,113,0.7975182051883731
ptsd,foil,CS-,114,0.5545078893915467
ptsd,foil,CS-,115,0.9110078678799575
ptsd,foil,CS-,116,0.4726006201152359
ptsd,foil,CS-,117,0.42952669721259373
ptsd,foil,CS-,118,0.4976222384518206
ptsd,foil,CS-,120,0.7412150690802431
ptsd,foil,CS-,121,0.9037724011404414
ptsd,foil,CS-,122,0.8348209214337717
ptsd,foil,CS-,123,0.7092016054422393
ptsd,foil,CS-,124,0.842232942515281
ptsd,foil,CS-,125,0.6780194712759956
