"","phase","group","hc_tail_ers","yvar","SE","df","LCL","UCL","tvar","xvar"
"58","extinction","healthy",-0.06,0.00221806347422313,0.0442207751720725,Inf,-0.0844530632314821,0.0888891901799283,"extinction healthy",-0.06
"59","acquisition","ptsd",-0.06,-0.0426047108349638,0.0445453315074203,Inf,-0.129911956268905,0.0447025345989772,"acquisition ptsd",-0.06
"60","extinction","ptsd",-0.06,0.0182653852722371,0.0443273844017792,Inf,-0.0686146916841126,0.105145462228587,"extinction ptsd",-0.06
"61","acquisition","healthy",-0.05,-0.0311722994680568,0.0444049771806429,Inf,-0.11820445547644,0.0558598565403263,"acquisition healthy",-0.05
"62","extinction","healthy",-0.05,0.00134912817685719,0.0441879349279263,Inf,-0.0852576328330779,0.0879558891867922,"extinction healthy",-0.05
"63","acquisition","ptsd",-0.05,-0.0438721908441732,0.0444754501405716,Inf,-0.1310424713159,0.0432980896275541,"acquisition ptsd",-0.05
"64","extinction","ptsd",-0.05,0.0174706084873254,0.0442880688911988,Inf,-0.069332411484253,0.104273628458904,"extinction ptsd",-0.05
"65","acquisition","healthy",-0.04,-0.0306495179127139,0.0443461993533486,Inf,-0.11756647149651,0.0562674356710827,"acquisition healthy",-0.04
"66","extinction","healthy",-0.04,0.000480192879491236,0.0441626964088235,Inf,-0.0860771015419791,0.0870374873009616,"extinction healthy",-0.04
"67","acquisition","ptsd",-0.04,-0.0451396708533826,0.0444121176107035,Inf,-0.132185821847518,0.0419064801407533,"acquisition ptsd",-0.04
"68","extinction","ptsd",-0.04,0.0166758317024136,0.0442550402097313,Inf,-0.0700624532430316,0.103414116647859,"extinction ptsd",-0.04
"69","acquisition","healthy",-0.03,-0.0301267363573709,0.0442950094704069,Inf,-0.116943359614229,0.0566898868994871,"acquisition healthy",-0.03
"70","extinction","healthy",-0.03,-0.000388742417874715,0.0441450726528881,Inf,-0.0869114949124394,0.08613401007669,"extinction healthy",-0.03
"71","acquisition","ptsd",-0.03,-0.046407150862592,0.0443553619699741,Inf,-0.133342062844979,0.0405277611197948,"acquisition ptsd",-0.03
"72","extinction","ptsd",-0.03,0.0158810549175018,0.044228312441955,Inf,-0.0708048445657146,0.102566954400718,"extinction ptsd",-0.03
"73","acquisition","healthy",-0.02,-0.029603954802028,0.0442514338649374,Inf,-0.116335171441561,0.0571272618375053,"acquisition healthy",-0.02
"74","extinction","healthy",-0.02,-0.00125767771524066,0.0441350727821675,Inf,-0.087760830823343,0.0852454753928617,"extinction healthy",-0.02
"75","acquisition","ptsd",-0.02,-0.0476746308718014,0.0443052084936734,Inf,-0.134511243846939,0.0391619821033366,"acquisition ptsd",-0.02
"76","extinction","ptsd",-0.02,0.0150862781325901,0.0442078970163288,Inf,-0.0715596078516701,0.10173216411685,"extinction ptsd",-0.02
"77","acquisition","healthy",-0.01,-0.0290811732466851,0.0442154950491952,Inf,-0.115741951101717,0.0575796046083465,"acquisition healthy",-0.01
"78","extinction","healthy",-0.01,-0.00212661301260661,0.0441327019790685,Inf,-0.0886251194320204,0.0843718934068072,"extinction healthy",-0.01
"79","acquisition","ptsd",-0.01,-0.0489421108810108,0.0442616796247985,Inf,-0.135693408840866,0.0378091870788445,"acquisition ptsd",-0.01
"80","extinction","ptsd",-0.01,0.0142915013476783,0.0441938026808553,Inf,-0.0723267602466678,0.100909762942024,"extinction ptsd",-0.01
"81","acquisition","healthy",0,-0.0285583916913422,0.0441872116568909,Inf,-0.115163735116097,0.0580469517334124,"acquisition healthy",0
"82","extinction","healthy",0,-0.00299554830997257,0.0441379614729422,Inf,-0.0895043631479557,0.0835132665280106,"extinction healthy",0
"83","acquisition","ptsd",0,-0.0502095908902201,0.0442247949244392,Inf,-0.136888596165791,0.0364694143853505,"acquisition ptsd",0
"84","extinction","ptsd",0,0.0134967245627665,0.0441860354843847,Inf,-0.0731063136062363,0.100099762731769,"extinction ptsd",0
"85","acquisition","healthy",0.00999999999999998,-0.0280356101359993,0.0441665983951598,Inf,-0.114600552310157,0.0585293320381584,"acquisition healthy",0.00999999999999998
"86","extinction","healthy",0.00999999999999998,-0.00386448360733851,0.0441508485368988,Inf,-0.0903985566265431,0.0826695894118661,"extinction healthy",0.00999999999999998
"87","acquisition","ptsd",0.00999999999999998,-0.0514770708994295,0.044194571028228,Inf,-0.138096838426954,0.0351426966280947,"acquisition ptsd",0.00999999999999998
"88","extinction","ptsd",0.00999999999999998,0.0127019477778548,0.0441845987636544,Inf,-0.0738982744702608,0.0993021700259703,"extinction ptsd",0.00999999999999998
"89","acquisition","healthy",0.02,-0.0275128285806564,0.0441536660064686,Inf,-0.114052423738745,0.0590267665774324,"acquisition healthy",0.02
"90","extinction","healthy",0.02,-0.00473341890470446,0.0441713564948715,Inf,-0.091307686782932,0.0818408489735231,"extinction healthy",0.02
"91","acquisition","ptsd",0.02,-0.0527445509086389,0.044171021609076,Inf,-0.139318162422768,0.0338290606054905,"acquisition ptsd",0.02
"92","extinction","ptsd",0.02,0.011907170992943,0.0441894931361273,Inf,-0.0747026440489465,0.0985169860348324,"extinction ptsd",0.02
"93","acquisition","healthy",0.03,-0.0269900470253135,0.0441484212406878,Inf,-0.113519362631365,0.0595392685807376,"acquisition healthy",0.03
"94","extinction","healthy",0.03,-0.00560235420207042,0.0441994747388866,Inf,-0.0922317328258761,0.0810270244217352,"extinction healthy",0.03
"95","acquisition","ptsd",0.03,-0.0540120309178483,0.0441541573463905,Inf,-0.140552589084488,0.0325285272487916,"acquisition ptsd",0.03
"96","extinction","ptsd",0.03,0.0111123942080312,0.0442007164986661,Inf,-0.0755194182202196,0.097744206636282,"extinction ptsd",0.03
"97","acquisition","healthy",0.04,-0.0264672654699706,0.0441508668374997,Inf,-0.113001374357694,0.0600668434177526,"acquisition healthy",0.04
