subject,encode_phase,condition,source_memory,run,roi,pe
3,acquisition,CSp,acquisition,memory_run-01,dACC,286.8382
3,acquisition,CSp,acquisition,memory_run-01,thl,172.40782
3,acquisition,CSp,acquisition,memory_run-01,lOFC,84.133514
3,acquisition,CSp,acquisition,memory_run-01,rsp,2.19394
3,acquisition,CSp,acquisition,memory_run-02,dACC,216.46272
3,acquisition,CSp,acquisition,memory_run-02,thl,41.957
3,acquisition,CSp,acquisition,memory_run-02,lOFC,96.92792
3,acquisition,CSp,acquisition,memory_run-02,rsp,23.195322
3,acquisition,CSp,acquisition,memory_run-03,dACC,157.9873
3,acquisition,CSp,acquisition,memory_run-03,thl,-166.62457
3,acquisition,CSp,acquisition,memory_run-03,lOFC,-57.95815699999999
3,acquisition,CSp,acquisition,memory_run-03,rsp,17.385482999999994
3,acquisition,CSp,extinction,memory_run-01,dACC,302.6127600000001
3,acquisition,CSp,extinction,memory_run-01,thl,244.59734
3,acquisition,CSp,extinction,memory_run-01,lOFC,76.076164
3,acquisition,CSp,extinction,memory_run-01,rsp,57.210330000000006
3,acquisition,CSp,extinction,memory_run-02,dACC,208.44374
3,acquisition,CSp,extinction,memory_run-02,thl,-1.8583835
3,acquisition,CSp,extinction,memory_run-02,lOFC,87.81617
3,acquisition,CSp,extinction,memory_run-02,rsp,-48.597595
3,acquisition,CSp,extinction,memory_run-03,dACC,160.24593000000004
3,acquisition,CSp,extinction,memory_run-03,thl,-153.81558
3,acquisition,CSp,extinction,memory_run-03,lOFC,-47.21267
3,acquisition,CSp,extinction,memory_run-03,rsp,-36.58256
3,acquisition,CSm,baseline,memory_run-01,dACC,151.24358999999995
3,acquisition,CSm,baseline,memory_run-01,thl,10.265961
3,acquisition,CSm,baseline,memory_run-01,lOFC,35.657745
3,acquisition,CSm,baseline,memory_run-01,rsp,-76.30663
3,acquisition,CSm,baseline,memory_run-02,dACC,221.89175
3,acquisition,CSm,baseline,memory_run-02,thl,-92.714264
3,acquisition,CSm,baseline,memory_run-02,lOFC,83.292816
3,acquisition,CSm,baseline,memory_run-02,rsp,-85.994514
3,acquisition,CSm,baseline,memory_run-03,dACC,-93.143364
3,acquisition,CSm,baseline,memory_run-03,thl,-83.61692
3,acquisition,CSm,baseline,memory_run-03,lOFC,-221.72415
3,acquisition,CSm,baseline,memory_run-03,rsp,-76.41333
3,acquisition,CSm,acquisition,memory_run-01,dACC,119.85221
3,acquisition,CSm,acquisition,memory_run-01,thl,64.895
3,acquisition,CSm,acquisition,memory_run-01,lOFC,10.061248
3,acquisition,CSm,acquisition,memory_run-01,rsp,-42.217083
3,acquisition,CSm,acquisition,memory_run-02,dACC,179.33392
3,acquisition,CSm,acquisition,memory_run-02,thl,-136.02263
3,acquisition,CSm,acquisition,memory_run-02,lOFC,120.0922
3,acquisition,CSm,acquisition,memory_run-02,rsp,-42.867916
3,acquisition,CSm,acquisition,memory_run-03,dACC,87.35048
3,acquisition,CSm,acquisition,memory_run-03,thl,-35.16277
3,acquisition,CSm,acquisition,memory_run-03,lOFC,-271.2428
3,acquisition,CSm,acquisition,memory_run-03,rsp,25.73327
3,acquisition,CSm,extinction,memory_run-01,dACC,202.89525
3,acquisition,CSm,extinction,memory_run-01,thl,-6.9141984
3,acquisition,CSm,extinction,memory_run-01,lOFC,16.048735
3,acquisition,CSm,extinction,memory_run-01,rsp,-33.86933
3,acquisition,CSm,extinction,memory_run-02,dACC,-222.83707
3,acquisition,CSm,extinction,memory_run-02,thl,49.503284
3,acquisition,CSm,extinction,memory_run-02,lOFC,-26.876966
3,acquisition,CSm,extinction,memory_run-02,rsp,-118.56793
3,acquisition,CSm,extinction,memory_run-03,dACC,315.0613
3,acquisition,CSm,extinction,memory_run-03,thl,-160.75958
3,acquisition,CSm,extinction,memory_run-03,lOFC,-32.35464
3,acquisition,CSm,extinction,memory_run-03,rsp,-68.3804
3,extinction,CSp,baseline,memory_run-01,dACC,134.27025
3,extinction,CSp,baseline,memory_run-01,thl,215.68956
3,extinction,CSp,baseline,memory_run-01,lOFC,43.029106
3,extinction,CSp,baseline,memory_run-01,rsp,-14.79427
3,extinction,CSp,baseline,memory_run-02,dACC,-240.01909
3,extinction,CSp,baseline,memory_run-02,thl,-15.078839000000002
3,extinction,CSp,baseline,memory_run-02,lOFC,-206.49377
3,extinction,CSp,baseline,memory_run-02,rsp,-387.9699
3,extinction,CSp,baseline,memory_run-03,dACC,204.23239
3,extinction,CSp,baseline,memory_run-03,thl,-25.639244
3,extinction,CSp,baseline,memory_run-03,lOFC,36.306618
3,extinction,CSp,baseline,memory_run-03,rsp,-28.836836
3,extinction,CSp,acquisition,memory_run-01,dACC,234.39711
3,extinction,CSp,acquisition,memory_run-01,thl,94.153885
3,extinction,CSp,acquisition,memory_run-01,lOFC,14.8705
