subject,encode_phase,condition,source_memory,run,roi,pe
7,extinction,CSm,extinction,memory_run-01,cuneus,137.06912
7,extinction,CSm,extinction,memory_run-02,cuneus,95.730705
7,extinction,CSm,extinction,memory_run-03,cuneus,158.88463000000002
8,baseline,CSp,baseline,memory_run-01,cuneus,74.9431
8,baseline,CSp,baseline,memory_run-02,cuneus,99.23234599999999
8,baseline,CSp,baseline,memory_run-03,cuneus,118.70658999999999
8,baseline,CSp,acquisition,memory_run-01,cuneus,76.0342
8,baseline,CSp,acquisition,memory_run-02,cuneus,107.38521999999999
8,baseline,CSp,acquisition,memory_run-03,cuneus,50.324337
8,baseline,CSp,extinction,memory_run-01,cuneus,102.66765
8,baseline,CSp,extinction,memory_run-02,cuneus,53.092476
8,baseline,CSp,extinction,memory_run-03,cuneus,100.033005
8,baseline,CSm,baseline,memory_run-01,cuneus,134.36093
8,baseline,CSm,baseline,memory_run-02,cuneus,50.06066
8,baseline,CSm,baseline,memory_run-03,cuneus,106.56938999999998
8,baseline,CSm,acquisition,memory_run-01,cuneus,94.4893
8,baseline,CSm,acquisition,memory_run-02,cuneus,71.524765
8,baseline,CSm,acquisition,memory_run-03,cuneus,107.82208
8,baseline,CSm,extinction,memory_run-01,cuneus,118.1272
8,baseline,CSm,extinction,memory_run-02,cuneus,145.37243999999998
8,baseline,CSm,extinction,memory_run-03,cuneus,87.14013
8,acquisition,CSp,baseline,memory_run-01,cuneus,112.56251499999999
8,acquisition,CSp,acquisition,memory_run-01,cuneus,92.58154
8,acquisition,CSp,acquisition,memory_run-02,cuneus,102.68642
8,acquisition,CSp,acquisition,memory_run-03,cuneus,69.36628
8,acquisition,CSp,extinction,memory_run-02,cuneus,78.49914
8,acquisition,CSm,baseline,memory_run-01,cuneus,88.989914
8,acquisition,CSm,baseline,memory_run-02,cuneus,151.6357
8,acquisition,CSm,baseline,memory_run-03,cuneus,74.120316
8,acquisition,CSm,acquisition,memory_run-01,cuneus,75.57818
8,acquisition,CSm,acquisition,memory_run-02,cuneus,92.72634000000001
8,acquisition,CSm,acquisition,memory_run-03,cuneus,83.9382
8,acquisition,CSm,extinction,memory_run-01,cuneus,100.78034
8,acquisition,CSm,extinction,memory_run-02,cuneus,84.14254
8,acquisition,CSm,extinction,memory_run-03,cuneus,132.2886
8,extinction,CSp,baseline,memory_run-01,cuneus,111.68175500000001
8,extinction,CSp,baseline,memory_run-02,cuneus,67.330635
8,extinction,CSp,baseline,memory_run-03,cuneus,92.25455
8,extinction,CSp,acquisition,memory_run-01,cuneus,78.4971
8,extinction,CSp,acquisition,memory_run-02,cuneus,77.859634
8,extinction,CSp,acquisition,memory_run-03,cuneus,50.227776
8,extinction,CSp,extinction,memory_run-01,cuneus,129.46597
8,extinction,CSp,extinction,memory_run-02,cuneus,54.777935
8,extinction,CSp,extinction,memory_run-03,cuneus,110.57098
8,extinction,CSm,baseline,memory_run-01,cuneus,108.62746399999999
8,extinction,CSm,baseline,memory_run-02,cuneus,126.346855
8,extinction,CSm,acquisition,memory_run-01,cuneus,92.239586
8,extinction,CSm,acquisition,memory_run-02,cuneus,84.6892
8,extinction,CSm,acquisition,memory_run-03,cuneus,106.21763999999999
8,extinction,CSm,extinction,memory_run-01,cuneus,89.27669499999999
8,extinction,CSm,extinction,memory_run-02,cuneus,87.64731
8,extinction,CSm,extinction,memory_run-03,cuneus,96.4753
9,baseline,CSp,baseline,memory_run-01,cuneus,71.75749
9,baseline,CSp,baseline,memory_run-02,cuneus,2.5493740000000003
9,baseline,CSp,baseline,memory_run-03,cuneus,167.1655
9,baseline,CSp,acquisition,memory_run-01,cuneus,108.94063
9,baseline,CSp,acquisition,memory_run-02,cuneus,31.435440000000003
9,baseline,CSp,acquisition,memory_run-03,cuneus,22.242844
9,baseline,CSp,extinction,memory_run-01,cuneus,36.743027000000005
9,baseline,CSp,extinction,memory_run-02,cuneus,81.499725
9,baseline,CSp,extinction,memory_run-03,cuneus,93.22948000000001
9,baseline,CSm,baseline,memory_run-02,cuneus,56.140347
9,baseline,CSm,baseline,memory_run-03,cuneus,259.54947000000004
9,baseline,CSm,acquisition,memory_run-01,cuneus,159.40608
9,baseline,CSm,acquisition,memory_run-02,cuneus,25.191725
9,baseline,CSm,extinction,memory_run-01,cuneus,125.73272
9,baseline,CSm,extinction,memory_run-02,cuneus,67.34246999999999
9,baseline,CSm,extinction,memory_run-03,cuneus,154.13968
9,acquisition,CSp,baseline,memory_run-01,cuneus,131.72429
9,acquisition,CSp,baseline,memory_run-02,cuneus,74.15938
9,acquisition,CSp,baseline,memory_run-03,cuneus,203.21428
9,acquisition,CSp,acquisition,memory_run-01,cuneus,121.08724
9,acquisition,CSp,acquisition,memory_run-02,cuneus,44.19497
9,acquisition,CSp,acquisition,memory_run-03,cuneus,155.27856
9,acquisition,CSp,extinction,memory_run-01,cuneus,-13.309308999999999
9,acquisition,CSm,baseline,memory_run-03,cuneus,219.20825
9,acquisition,CSm,acquisition,memory_run-01,cuneus,112.73674
9,acquisition,CSm,acquisition,memory_run-02,cuneus,53.317562
9,acquisition,CSm,acquisition,memory_run-03,cuneus,123.55966000000001
9,acquisition,CSm,extinction,memory_run-01,cuneus,81.21112
9,acquisition,CSm,extinction,memory_run-02,cuneus,31.18096
9,acquisition,CSm,extinction,memory_run-03,cuneus,220.03933999999998
9,extinction,CSp,baseline,memory_run-01,cuneus,144.21173000000002
9,extinction,CSp,baseline,memory_run-02,cuneus,132.67627
9,extinction,CSp,baseline,memory_run-03,cuneus,178.84933
9,extinction,CSp,acquisition,memory_run-01,cuneus,92.96146999999999
9,extinction,CSp,acquisition,memory_run-02,cuneus,-5.6811914
9,extinction,CSp,acquisition,memory_run-03,cuneus,134.77449
9,extinction,CSp,extinction,memory_run-01,cuneus,94.71986
9,extinction,CSp,extinction,memory_run-02,cuneus,36.917763
9,extinction,CSm,baseline,memory_run-01,cuneus,139.5607
9,extinction,CSm,baseline,memory_run-02,cuneus,9.633426
9,extinction,CSm,baseline,memory_run-03,cuneus,193.69197
