condition,group,roi,phase,subject,beta
CS+,healthy,hc_body,extinction,12,-7.856899341309062
CS+,healthy,hc_body,extinction,13,3.0984045856134736
CS+,healthy,hc_body,extinction,14,7.7400979231020415
CS+,healthy,hc_body,extinction,15,-19.52912734302853
CS+,healthy,hc_body,extinction,16,-19.45151155545544
CS+,healthy,hc_body,extinction,17,19.308278304144515
CS+,healthy,hc_body,extinction,18,1.5155043016556045
CS+,healthy,hc_body,extinction,19,-18.10883367694645
CS+,healthy,hc_body,extinction,20,7.5583015241142535
CS+,healthy,hc_body,extinction,21,2.844126077021788
CS+,healthy,hc_body,extinction,23,15.40391494179817
CS+,healthy,hc_body,extinction,24,-40.928512464008996
CS+,healthy,hc_body,extinction,25,-11.060208427255077
CS+,healthy,hc_body,extinction,26,-3.52270941056473
CS+,healthy,hc_head,acquisition,1,-58.4856349148253
CS+,healthy,hc_head,acquisition,2,-19.745150843526133
CS+,healthy,hc_head,acquisition,3,-9.675937852191076
CS+,healthy,hc_head,acquisition,4,-60.48968964336989
CS+,healthy,hc_head,acquisition,5,3.55548674188784
CS+,healthy,hc_head,acquisition,6,-39.368087407368776
CS+,healthy,hc_head,acquisition,7,-18.22701430604916
CS+,healthy,hc_head,acquisition,8,29.92151230319601
CS+,healthy,hc_head,acquisition,9,17.018690957113012
CS+,healthy,hc_head,acquisition,10,8.273946407495428
CS+,healthy,hc_head,acquisition,12,10.881172646519373
CS+,healthy,hc_head,acquisition,13,-16.248199325440556
CS+,healthy,hc_head,acquisition,14,-18.797149207189413
CS+,healthy,hc_head,acquisition,15,-13.211049049979305
CS+,healthy,hc_head,acquisition,16,-5.118438882769149
CS+,healthy,hc_head,acquisition,17,4.627596556112313
CS+,healthy,hc_head,acquisition,18,-13.799373265383851
CS+,healthy,hc_head,acquisition,19,-29.512236110471004
CS+,healthy,hc_head,acquisition,20,-0.7505772801655386
CS+,healthy,hc_head,acquisition,21,10.626808962476284
CS+,healthy,hc_head,acquisition,23,-4.330601551276862
CS+,healthy,hc_head,acquisition,24,-39.7465721460076
CS+,healthy,hc_head,acquisition,25,-15.236258488310366
CS+,healthy,hc_head,acquisition,26,-1.7576545568116173
CS+,healthy,hc_head,baseline,1,-21.017305883886653
CS+,healthy,hc_head,baseline,2,-44.73080084059678
CS+,healthy,hc_head,baseline,3,23.28158950836941
CS+,healthy,hc_head,baseline,4,-49.396075115133364
CS+,healthy,hc_head,baseline,5,8.01199761061738
CS+,healthy,hc_head,baseline,6,-27.940836556902735
CS+,healthy,hc_head,baseline,7,-13.803840159434259
CS+,healthy,hc_head,baseline,8,23.202374118739556
CS+,healthy,hc_head,baseline,9,16.978864471828846
CS+,healthy,hc_head,baseline,10,8.901359259286519
CS+,healthy,hc_head,baseline,12,2.268920829696289
CS+,healthy,hc_head,baseline,13,-2.9538178686961776
CS+,healthy,hc_head,baseline,14,-28.213455395021963
CS+,healthy,hc_head,baseline,15,-13.417821785374663
CS+,healthy,hc_head,baseline,16,-9.743518219730019
CS+,healthy,hc_head,baseline,17,3.9383628657817016
CS+,healthy,hc_head,baseline,18,-22.721941727684218
CS+,healthy,hc_head,baseline,19,-19.821602605619788
CS+,healthy,hc_head,baseline,20,11.205321219437003
CS+,healthy,hc_head,baseline,21,14.605384488219144
CS+,healthy,hc_head,baseline,23,5.097293768903273
CS+,healthy,hc_head,baseline,24,-47.03040439110046
CS+,healthy,hc_head,baseline,25,-20.217317499163283
CS+,healthy,hc_head,baseline,26,-24.321953008041426
CS+,healthy,hc_head,extinction,1,-41.94482646397126
CS+,healthy,hc_head,extinction,2,-20.775807981187086
CS+,healthy,hc_head,extinction,3,-1.6775024112544947
CS+,healthy,hc_head,extinction,4,-57.467770612015215
CS+,healthy,hc_head,extinction,5,-3.4712164963429584
CS+,healthy,hc_head,extinction,6,-20.855172242796854
CS+,healthy,hc_head,extinction,7,-0.3332570834608193
CS+,healthy,hc_head,extinction,8,23.97393369611711
CS+,healthy,hc_head,extinction,9,16.410892465468873
CS+,healthy,hc_head,extinction,10,1.9110318248139209
CS+,healthy,hc_head,extinction,12,5.8447164800576035
CS+,healthy,hc_head,extinction,13,-19.854569942030746
CS+,healthy,hc_head,extinction,14,-19.94092162961348
CS+,healthy,hc_head,extinction,15,-13.31716295228918
CS+,healthy,hc_head,extinction,16,-2.900477903867272
CS+,healthy,hc_head,extinction,17,12.034663468952743
CS+,healthy,hc_head,extinction,18,-9.517060852536668
CS+,healthy,hc_head,extinction,19,-24.60177097984931
CS+,healthy,hc_head,extinction,20,4.3463722805212885
CS+,healthy,hc_head,extinction,21,10.914016135482447
CS+,healthy,hc_head,extinction,23,3.212026013870648
CS+,healthy,hc_head,extinction,24,-43.36620018035156
CS+,healthy,hc_head,extinction,25,3.6024710995301414
CS+,healthy,hc_head,extinction,26,-0.12042560781078655
CS+,healthy,hc_tail,acquisition,1,-0.040744601748883724
CS+,healthy,hc_tail,acquisition,2,-3.310491903206437
CS+,healthy,hc_tail,acquisition,3,-14.690819718999924
CS+,healthy,hc_tail,acquisition,4,-17.950408731671892
CS+,healthy,hc_tail,acquisition,5,-12.181792450478921
CS+,healthy,hc_tail,acquisition,6,-10.145064337611801
CS+,healthy,hc_tail,acquisition,7,-35.681383752184246
CS+,healthy,hc_tail,acquisition,8,42.7102177338851
CS+,healthy,hc_tail,acquisition,9,-8.46990731645089
CS+,healthy,hc_tail,acquisition,10,-2.8146604326864084
CS+,healthy,hc_tail,acquisition,12,27.14675484335533
CS+,healthy,hc_tail,acquisition,13,10.023786687404446
CS+,healthy,hc_tail,acquisition,14,1.5238648732992437
CS+,healthy,hc_tail,acquisition,15,30.5530072316813
CS+,healthy,hc_tail,acquisition,16,-10.412477825983213
CS+,healthy,hc_tail,acquisition,17,34.509667873275106
CS+,healthy,hc_tail,acquisition,18,-8.907758329655714
CS+,healthy,hc_tail,acquisition,19,-0.4839570105886432
CS+,healthy,hc_tail,acquisition,20,20.55605539024691
CS+,healthy,hc_tail,acquisition,21,27.08158822158256
CS+,healthy,hc_tail,acquisition,23,41.530229979994324
CS+,healthy,hc_tail,acquisition,24,-12.114599521468193
CS+,healthy,hc_tail,acquisition,25,19.532800316026336
CS+,healthy,hc_tail,acquisition,26,-15.261642266702545
CS+,healthy,hc_tail,baseline,1,-6.033743892339142
CS+,healthy,hc_tail,baseline,2,-5.167637641114804
CS+,healthy,hc_tail,baseline,3,4.134088987461859
CS+,healthy,hc_tail,baseline,4,-13.748942822421224
CS+,healthy,hc_tail,baseline,5,-13.081802509430174
CS+,healthy,hc_tail,baseline,6,0.6643112870403612
CS+,healthy,hc_tail,baseline,7,-28.48687397466885
CS+,healthy,hc_tail,baseline,8,49.531327076196305
CS+,healthy,hc_tail,baseline,9,-4.724890555318796
CS+,healthy,hc_tail,baseline,10,1.1384090361563302
CS+,healthy,hc_tail,baseline,12,17.870163468333587
CS+,healthy,hc_tail,baseline,13,26.48345809354413
CS+,healthy,hc_tail,baseline,14,0.1332680084939571
CS+,healthy,hc_tail,baseline,15,25.33035475158443
CS+,healthy,hc_tail,baseline,16,-7.377698765223613
CS+,healthy,hc_tail,baseline,17,25.45183254651025
CS+,healthy,hc_tail,baseline,18,1.9882230856275367
CS+,healthy,hc_tail,baseline,19,-0.3963961788815343
CS+,healthy,hc_tail,baseline,20,21.144331257685554
CS+,healthy,hc_tail,baseline,21,33.868971283953535
CS+,healthy,hc_tail,baseline,23,33.85443559318141
CS+,healthy,hc_tail,baseline,24,-21.285983074036444
CS+,healthy,hc_tail,baseline,25,10.116566812619569
CS+,healthy,hc_tail,baseline,26,-32.48241542308247
CS+,healthy,hc_tail,extinction,1,-5.7968953112317685
CS+,healthy,hc_tail,extinction,2,5.0255800616157815
CS+,healthy,hc_tail,extinction,3,-8.876381223741161
CS+,healthy,hc_tail,extinction,4,-11.002547888046443
CS+,healthy,hc_tail,extinction,5,-13.116387588692751
CS+,healthy,hc_tail,extinction,6,-0.24605464937266
CS+,healthy,hc_tail,extinction,7,-14.559954758307764
CS+,healthy,hc_tail,extinction,8,43.00439966713417
CS+,healthy,hc_tail,extinction,9,-12.56156686061404
CS+,healthy,hc_tail,extinction,10,8.081341606275076
CS+,healthy,hc_tail,extinction,12,15.691660704349893
CS+,healthy,hc_tail,extinction,13,18.624713894646906
CS+,healthy,hc_tail,extinction,14,10.635913033226524
CS+,healthy,hc_tail,extinction,15,14.63182910173394
CS+,healthy,hc_tail,extinction,16,-11.600355400065315
CS+,healthy,hc_tail,extinction,17,33.82255605654393
CS+,healthy,hc_tail,extinction,18,5.262494188177493
CS+,healthy,hc_tail,extinction,19,3.8788764856893714
CS+,healthy,hc_tail,extinction,20,10.201746515908255
CS+,healthy,hc_tail,extinction,21,32.10645534914847
CS+,healthy,hc_tail,extinction,23,44.26274619846031
CS+,healthy,hc_tail,extinction,24,-14.960891979582168
CS+,healthy,hc_tail,extinction,25,22.96553293145443
CS+,healthy,hc_tail,extinction,26,-9.715476118548363
CS+,ptsd,amyg_bla,acquisition,101,1.092885151712431
CS+,ptsd,amyg_bla,acquisition,102,-9.201577314962599
CS+,ptsd,amyg_bla,acquisition,103,-18.71720220135747
CS+,ptsd,amyg_bla,acquisition,104,-2.1401191645351387
CS+,ptsd,amyg_bla,acquisition,105,1.95934024218072
CS+,ptsd,amyg_bla,acquisition,106,-8.716118181944491
CS+,ptsd,amyg_bla,acquisition,107,-5.1014137308438565
CS+,ptsd,amyg_bla,acquisition,108,5.307712228577704
CS+,ptsd,amyg_bla,acquisition,109,-2.333701165117968
CS+,ptsd,amyg_bla,acquisition,110,-4.089710396130029
CS+,ptsd,amyg_bla,acquisition,111,-5.28953535416623
CS+,ptsd,amyg_bla,acquisition,112,4.430396239304296
CS+,ptsd,amyg_bla,acquisition,113,-19.107639952198685
CS+,ptsd,amyg_bla,acquisition,114,-0.3360781430019415
CS+,ptsd,amyg_bla,acquisition,115,-19.150936028736826
CS+,ptsd,amyg_bla,acquisition,116,6.198105011906831
CS+,ptsd,amyg_bla,acquisition,117,0.2415661852759849
CS+,ptsd,amyg_bla,acquisition,118,-0.08159005824626776
CS+,ptsd,amyg_bla,acquisition,120,-5.5426916146467375
CS+,ptsd,amyg_bla,acquisition,121,-28.00020850937302
CS+,ptsd,amyg_bla,acquisition,122,11.21569296508976
CS+,ptsd,amyg_bla,acquisition,123,-4.4800346428321465
CS+,ptsd,amyg_bla,acquisition,124,-1.5139972701351898
CS+,ptsd,amyg_bla,acquisition,125,12.623800750691723
CS+,ptsd,amyg_bla,baseline,101,2.0683822631087065
CS+,ptsd,amyg_bla,baseline,102,-3.3259801720657074
CS+,ptsd,amyg_bla,baseline,103,-11.802010858754716
CS+,ptsd,amyg_bla,baseline,104,-6.224544427596379
CS+,ptsd,amyg_bla,baseline,105,0.28748185127599823
CS+,ptsd,amyg_bla,baseline,106,-22.17517954810885
CS+,ptsd,amyg_bla,baseline,107,-0.8825588530550401
CS+,ptsd,amyg_bla,baseline,108,-5.051026749376876
CS+,ptsd,amyg_bla,baseline,109,-1.625174143500807
CS+,ptsd,amyg_bla,baseline,110,19.430228311188785
CS+,ptsd,amyg_bla,baseline,111,-23.072063666397057
CS+,ptsd,amyg_bla,baseline,112,0.8371689470992847
CS+,ptsd,amyg_bla,baseline,113,-10.469847873259674
CS+,ptsd,amyg_bla,baseline,114,10.626150746428822
CS+,ptsd,amyg_bla,baseline,115,-10.367422404615636
CS+,ptsd,amyg_bla,baseline,116,10.47410136046927
CS+,ptsd,amyg_bla,baseline,117,-13.320176414615819
CS+,ptsd,amyg_bla,baseline,118,1.967662999570068
CS+,ptsd,amyg_bla,baseline,120,7.1249600996049685
CS+,ptsd,amyg_bla,baseline,121,-15.895423815723722
CS+,ptsd,amyg_bla,baseline,122,6.277177260059188
CS+,ptsd,amyg_bla,baseline,123,-6.064669091413142
CS+,ptsd,amyg_bla,baseline,124,-3.5187827528032707
CS+,ptsd,amyg_bla,baseline,125,14.11887365111444
CS+,ptsd,amyg_bla,extinction,101,4.850398167756072
CS+,ptsd,amyg_bla,extinction,102,-1.0625056255786791
CS+,ptsd,amyg_bla,extinction,103,-28.989762743285628
CS+,ptsd,amyg_bla,extinction,104,-13.040864000600974
CS+,ptsd,amyg_bla,extinction,105,-8.260039661508943
CS+,ptsd,amyg_bla,extinction,106,0.7138609674487574
CS+,ptsd,amyg_bla,extinction,107,-5.031826977527231
CS+,ptsd,amyg_bla,extinction,108,1.7701850901298128
CS+,ptsd,amyg_bla,extinction,109,6.970144686422689
CS+,ptsd,amyg_bla,extinction,110,26.70605024857877
CS+,ptsd,amyg_bla,extinction,111,-3.02889268323353
CS+,ptsd,amyg_bla,extinction,112,-3.6368227238541073
CS+,ptsd,amyg_bla,extinction,113,-19.158279076585245
CS+,ptsd,amyg_bla,extinction,114,-0.7117477334589543
CS+,ptsd,amyg_bla,extinction,115,-4.1228554298744555
CS+,ptsd,amyg_bla,extinction,116,-2.746484360054424
CS+,ptsd,amyg_bla,extinction,117,-15.380940924099901
CS+,ptsd,amyg_bla,extinction,118,-2.1884677988545267
CS+,ptsd,amyg_bla,extinction,120,12.654416708395752
CS+,ptsd,amyg_bla,extinction,121,-11.8469555568137
CS+,ptsd,amyg_bla,extinction,122,9.848668361762334
CS+,ptsd,amyg_bla,extinction,123,-9.447625485012207
CS+,ptsd,amyg_bla,extinction,124,5.06471369493932
CS+,ptsd,amyg_bla,extinction,125,9.784507653471973
CS+,ptsd,amyg_cem,acquisition,101,-15.582098246974056
CS+,ptsd,amyg_cem,acquisition,102,-15.277051135207767
CS+,ptsd,amyg_cem,acquisition,103,-45.8866246616734
CS+,ptsd,amyg_cem,acquisition,104,-19.00024705537639
CS+,ptsd,amyg_cem,acquisition,105,-8.14655664894316
CS+,ptsd,amyg_cem,acquisition,106,46.077160468445186
CS+,ptsd,amyg_cem,acquisition,107,4.160635835782747
CS+,ptsd,amyg_cem,acquisition,108,-2.223959657053153
CS+,ptsd,amyg_cem,acquisition,109,5.3538109302855705
CS+,ptsd,amyg_cem,acquisition,110,-10.190621614691768
CS+,ptsd,amyg_cem,acquisition,111,-30.26455313090107
CS+,ptsd,amyg_cem,acquisition,112,0.494304059247952
CS+,ptsd,amyg_cem,acquisition,113,-7.777242042124271
CS+,ptsd,amyg_cem,acquisition,114,11.263667255169663
CS+,ptsd,amyg_cem,acquisition,115,-19.59621394684627
CS+,ptsd,amyg_cem,acquisition,116,-10.440710963020402
CS+,ptsd,amyg_cem,acquisition,117,4.520598949985233
CS+,ptsd,amyg_cem,acquisition,118,17.704110974041015
CS+,ptsd,amyg_cem,acquisition,120,-11.833472452229927
CS+,ptsd,amyg_cem,acquisition,121,-33.14087586707293
CS+,ptsd,amyg_cem,acquisition,122,29.082384299869922
CS+,ptsd,amyg_cem,acquisition,123,17.976674968920022
CS+,ptsd,amyg_cem,acquisition,124,10.317064849465773
CS+,ptsd,amyg_cem,acquisition,125,5.883598082701264
CS+,ptsd,amyg_cem,baseline,101,4.442500992619898
CS+,ptsd,amyg_cem,baseline,102,-16.352309601450408
CS+,ptsd,amyg_cem,baseline,103,-25.902421864215285
CS+,ptsd,amyg_cem,baseline,104,-24.03777992681409
CS+,ptsd,amyg_cem,baseline,105,-27.658748407310075
CS+,ptsd,amyg_cem,baseline,106,40.14010318777254
CS+,ptsd,amyg_cem,baseline,107,11.85612894690624
CS+,ptsd,amyg_cem,baseline,108,-9.331826251087476
CS+,ptsd,amyg_cem,baseline,109,-3.0643456473685147
CS+,ptsd,amyg_cem,baseline,110,6.782251063272481
CS+,ptsd,amyg_cem,baseline,111,-41.12060506733171
CS+,ptsd,amyg_cem,baseline,112,-5.343358408999241
CS+,ptsd,amyg_cem,baseline,113,-26.1019111531878
CS+,ptsd,amyg_cem,baseline,114,-5.5303471262256325
